,PARID,"2021 BOR Final 
Assessed Value","2022 CCAO Initial 
Assessed Value",$ Difference,% Difference2,Class,Township,ADDRESS,geo_address,geocoded,lat,lon
40,17161120060000,"11,738,632","17,929,470","-6,190,838",-0.53,5-91,West Chicago,555 W ADAMS ST,"555 W ADAMS ST Cook County, IL","(41.8789685, -87.64154529999999)",41.8789685,-87.64154529999999
41,17162000230000,"71,007,079","77,179,706","-6,172,627",-0.09,5-91,South Chicago,30 S WACKER DR,"30 S WACKER DR Cook County, IL","(41.8809837, -87.6372562)",41.8809837,-87.6372562
42,17103160360000,"8,452,733","14,381,413","-5,928,680",-0.70,3-91,South Chicago,233 E WACKER DR,"233 E WACKER DR Cook County, IL","(41.8876107, -87.62121739999999)",41.8876107,-87.62121739999999
43,17094280010000,"53,501,938","59,359,653","-5,857,715",-0.11,5-91,South Chicago,191 N WACKER DR,"191 N WACKER DR Cook County, IL","(41.8855934, -87.6363126)",41.8855934,-87.6363126
44,17094560030000,"8,132,503","13,907,133","-5,774,630",-0.71,5-91,South Chicago,200 W MADISON ST,"200 W MADISON ST Cook County, IL","(41.8822634, -87.6344471)",41.8822634,-87.6344471
45,17094290180000,"54,852,903","60,548,495","-5,695,592",-0.10,5-91,South Chicago,155 N WACKER DR,"155 N WACKER DR Cook County, IL","(41.8847435, -87.6363389)",41.8847435,-87.6363389
46,17102210020000,"11,529,807","17,136,000","-5,606,193",-0.49,3-97,North Chicago,353 E NORTH WATER ST,"353 E NORTH WATER ST Cook County, IL","(41.8892095, -87.6181939)",41.8892095,-87.6181939
47,17032230320000,"8,324,055","13,738,827","-5,414,772",-0.65,3-91,North Chicago,1 E CHESTNUT ST,"1 E CHESTNUT ST Cook County, IL","(41.8981177, -87.6278774)",41.8981177,-87.6278774
48,17104010070000,"14,171,360","19,559,531","-5,388,171",-0.38,3-97,South Chicago,260 E RANDOLPH ST,"260 E RANDOLPH ST Cook County, IL","(41.8855823, -87.6209808)",41.8855823,-87.6209808
49,17044400260000,"4,566,779","9,950,477","-5,383,698",-1.18,3-91,North Chicago,100 W CHESTNUT ST,"100 W CHESTNUT ST Cook County, IL","(41.8981685, -87.6317278)",41.8981685,-87.6317278
50,17164110130000,"11,482,924","16,424,930","-4,942,006",-0.43,3-91,South Chicago,821 S SHERMAN ST,"821 S SHERMAN ST Cook County, IL","(41.8714649, -87.6325239)",41.8714649,-87.6325239
51,17162420170000,"9,710,181","14,648,502","-4,938,321",-0.51,5-91,South Chicago,400 S LA SALLE ST,"400 S LA SALLE ST Cook County, IL","(41.8764788, -87.6321341)",41.8764788,-87.6321341
52,17164160140000,"5,758,988","10,663,060","-4,904,072",-0.85,3-91,South Chicago,150 W ROOSEVELT RD,"150 W ROOSEVELT RD Cook County, IL","(41.8688836, -87.6322919)",41.8688836,-87.6322919
53,17162150020000,"14,935,027","19,809,788","-4,874,761",-0.33,5-91,South Chicago,250 S WACKER DR,"250 S WACKER DR Cook County, IL","(41.8784086, -87.6373413)",41.8784086,-87.6373413
54,17032200250000,"22,544,020","27,246,419","-4,702,399",-0.21,5-97,North Chicago,875 N MICHIGAN AVE,"875 N MICHIGAN AVE Cook County, IL","(41.8988085, -87.62308209999999)",41.8988085,-87.62308209999999
