,PARID,"2021 BOR Final 
Assessed Value","2022 CCAO Initial 
Assessed Value",$ Difference,% Difference2,Class,Township,ADDRESS
99,17162200080000,15056392,18021800,-2965408,-0.19695342682363748,7-29B,South Chicago,208 S LA SALLE ST
100,17094130010000,6173556,9107746,-2934190,-0.4752836128804858,5-91,South Chicago,225 W WACKER DR
101,17093410150000,12141970,15019008,-2877038,-0.2369498524539264,5-91,West Chicago,26 N CLINTON ST
102,17052140160000,7468357,10258102,-2789745,-0.3735419985948716,3-91,North Chicago,840 W BLACKHAWK ST
103,17164010280000,6895754,9574226,-2678472,-0.3884233689310843,3-91,South Chicago,800 S WELLS ST
104,17031130150000,3432775,6055823,-2623048,-0.7641188251487498,3-91,North Chicago,1220 N STONE ST
105,17093110020000,882855,3484729,-2601874,-2.947113625680321,5-97,West Chicago,730 W LAKE ST
106,17101350430000,18270370,20797475,-2527105,-0.13831712220387438,7-97,North Chicago,330 N WABASH AVE
107,17101350420000,18942050,21469154,-2527104,-0.1334123814476258,7-97,North Chicago,330 N WABASH AVE
108,17102180070000,13260593,15779392,-2518799,-0.18994618113986306,3-91,North Chicago,500 N LAKE SHORE DR
109,17171170240000,1496627,3975446,-2478819,-1.6562704000395558,5-91,West Chicago,310 S RACINE AVE
110,17044140230000,2895866,5346163,-2450297,-0.8461361817155904,3-97,North Chicago,1139 N DEARBORN ST
111,17084370100000,11024068,13381830,-2357762,-0.2138740435926194,5-91,West Chicago,101 N ABERDEEN ST
112,17094370070000,32597825,34926781,-2328956,-0.07144513475975778,5-91,South Chicago,161 N CLARK ST
113,17102110300000,13131530,15444279,-2312749,-0.1761218228188186,3-97,North Chicago,545 N MCCLURG CT
114,17221060670000,3642767,5897191,-2254424,-0.6188768043632766,3-91,South Chicago,1 E 14TH PL
115,17094150040000,4479785,6723578,-2243793,-0.5008706891067316,5-91,South Chicago,228 W LAKE ST
116,17084370120000,10104956,12274096,-2169140,-0.21466100396676646,5-91,West Chicago,110 N CARPENTER ST
117,17093020020000,7145909,9298800,-2152891,-0.30127601680905824,3-91,West Chicago,353 N DESPLAINES ST
118,17101230160000,3078395,5219402,-2141007,-0.6954945677861353,3-91,North Chicago,505 N STATE ST
119,17091230110000,5797470,7872170,-2074700,-0.3578629988598474,3-91,North Chicago,452 W ERIE ST
120,17101330090000,8272528,10319163,-2046635,-0.2474013989435877,7-91,North Chicago,422 N MICHIGAN AVE
121,17094210060000,9526587,11565561,-2038974,-0.21402985140428576,5-91,South Chicago,73 W WACKER DR
122,17094210070000,9519087,11558061,-2038974,-0.2141984835310362,5-91,South Chicago,71 W WACKER DR
123,17094210080000,9519087,11558061,-2038974,-0.2141984835310362,5-91,South Chicago,69 W WACKER DR
124,17164040010000,2157024,4195949,-2038925,-0.9452491024671028,5-91,South Chicago,601 S LA SALLE ST
125,17042130120000,3789275,5810181,-2020906,-0.5333226012891648,3-91,North Chicago,213 W SCHILLER ST
126,17282140160000,3992253,5995007,-2002754,-0.5016600901796555,5-29,South Chicago,2335 S WENTWORTH AVE
