,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,Unnamed: 0.2,URL,Unnamed: 0,URL.2,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS,Unnamed: 0.1,URL.1
1327,April-7-2023,519 S Hawthorne Ave,Elmhurst,1699900.0,6.0,5.5,Elmhurst,2023.0,,409.0,,41.8849342,-87.9530658,564.0,https://www.redfin.com/IL/Elmhurst/519-S-Hawthorne-Ave-60126/home/18101932,,,"$1,699,900",2023,$409,blue,32,519 S Hawthorne Ave Elmhurst,,
564,April-7-2023,519 S Hawthorne Ave,Elmhurst,1699900.0,6.0,5.5,Elmhurst,2023.0,,409.0,https://www.redfin.com/IL/Elmhurst/519-S-Hawthorne-Ave-60126/home/18101932,41.8849342,-87.9530658,,,,,"$1,699,900",2023,$409,blue,33,519 S Hawthorne Ave Elmhurst,,
1328,April-25-2023,240 Kimberly Ln,Lake Forest,1665000.0,6.0,5.0,Old Elm Estates,1985.0,,305.0,,42.2154039,-87.8526351,4279.0,https://www.redfin.com/IL/Lake-Forest/240-Kimberly-Ln-60045/home/17630577,,,"$1,665,000",1985,$305,blue,34,240 Kimberly Ln Lake Forest,,
1329,April-25-2023,240 Kimberly Ln,Lake Forest,1665000.0,6.0,5.0,Old Elm Estates,1985.0,,305.0,,42.2154039,-87.8526351,1317.0,,1365.0,https://www.redfin.com/IL/Lake-Forest/240-Kimberly-Ln-60045/home/17630577,"$1,665,000",1985,$305,blue,35,240 Kimberly Ln Lake Forest,,
7193,April-25-2023,240 Kimberly Ln,Lake Forest,1665000.0,6.0,5.0,Old Elm Estates,1985.0,,305.0,https://www.redfin.com/IL/Lake-Forest/240-Kimberly-Ln-60045/home/17630577,42.2154039,-87.8526351,,,,,"$1,665,000",1985,$305,blue,36,240 Kimberly Ln Lake Forest,,
1331,April-17-2023,1550 Ridge Rd,Highland Park,1650000.0,4.0,4.5,Highland Park,2004.0,,367.0,,42.180659,-87.8372853,1318.0,,1736.0,https://www.redfin.com/IL/Highland-Park/1550-Ridge-Rd-60035/home/14197142,"$1,650,000",2004,$367,blue,37,1550 Ridge Rd Highland Park,,
1330,April-17-2023,1550 Ridge Rd,Highland Park,1650000.0,4.0,4.5,Highland Park,2004.0,,367.0,,42.180659,-87.8372853,4650.0,https://www.redfin.com/IL/Highland-Park/1550-Ridge-Rd-60035/home/14197142,,,"$1,650,000",2004,$367,blue,38,1550 Ridge Rd Highland Park,,
7564,April-17-2023,1550 Ridge Rd,Highland Park,1650000.0,4.0,4.5,Highland Park,2004.0,,367.0,https://www.redfin.com/IL/Highland-Park/1550-Ridge-Rd-60035/home/14197142,42.180659,-87.8372853,,,,,"$1,650,000",2004,$367,blue,39,1550 Ridge Rd Highland Park,,
1333,April-3-2023,207 Merton Ave,Glen Ellyn,1625000.0,4.0,4.5,Glen Ellyn,1923.0,,384.0,,41.8669166,-88.0557534,725.0,https://www.redfin.com/IL/Glen-Ellyn/207-Merton-Ave-60137/home/18132097,,,"$1,625,000",1923,$384,blue,40,207 Merton Ave Glen Ellyn,,
1332,April-3-2023,207 Merton Ave,Glen Ellyn,1625000.0,4.0,4.5,Glen Ellyn,1923.0,,384.0,,41.8669166,-88.0557534,1319.0,,725.0,https://www.redfin.com/IL/Glen-Ellyn/207-Merton-Ave-60137/home/18132097,"$1,625,000",1923,$384,blue,41,207 Merton Ave Glen Ellyn,,
725,April-3-2023,207 Merton Ave,Glen Ellyn,1625000.0,4.0,4.5,Glen Ellyn,1923.0,,384.0,https://www.redfin.com/IL/Glen-Ellyn/207-Merton-Ave-60137/home/18132097,41.8669166,-88.0557534,,,,,"$1,625,000",1923,$384,blue,42,207 Merton Ave Glen Ellyn,,
