,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS
411,April-17-2023,1250 S Michigan Ave #1404,Chicago,300000.0,1.0,1.0,Michigan Avenue Towers,2005.0,,348.0,https://www.redfin.com/IL/Chicago/1250-S-Michigan-Ave-60605/unit-1404/home/18947624,41.8659823,-87.6243183,"$300,000",2005,$348,blue,825,1250 S Michigan Ave #1404 Chicago
504,April-20-2023,110 S Evergreen Ave Unit 4CS,Arlington Heights,300000.0,2.0,2.0,Arlington Heights,1990.0,,273.0,https://www.redfin.com/IL/Arlington-Heights/110-S-Evergreen-Ave-60005/unit-4CS/home/13826170,42.0806676,-87.9819402,"$300,000",1990,$273,blue,826,110 S Evergreen Ave Unit 4CS Arlington Heights
654,April-27-2023,153 Pointe Dr #205,Northbrook,300000.0,2.0,2.0,Northbrook,2006.0,,222.0,https://www.redfin.com/IL/Northbrook/153-Pointe-Dr-60062/unit-205/home/12626516,42.1506901,-87.8771024,"$300,000",2006,$222,blue,827,153 Pointe Dr #205 Northbrook
1208,April-27-2023,5320 N Lowell Ave #210,Chicago,300000.0,2.0,2.0,Rivers Edge,1996.0,,214.0,https://www.redfin.com/IL/Chicago/5320-N-Lowell-Ave-60630/unit-210/home/12796872,41.9777541,-87.737193,"$300,000",1996,$214,blue,828,5320 N Lowell Ave #210 Chicago
1604,April-13-2023,3150 N Lake Shore Dr Unit 32D,Chicago,300000.0,2.0,2.0,CHI - Lake View,1963.0,,182.0,https://www.redfin.com/IL/Chicago/3150-N-Lake-Shore-Dr-60657/unit-32D/home/13372026,41.9390365,-87.6385457,"$300,000",1963,$182,blue,829,3150 N Lake Shore Dr Unit 32D Chicago
825,April-17-2023,3963 W Belmont Ave #423,Chicago,299000.0,2.0,1.0,Shoemaker Lofts,,,,https://www.redfin.com/IL/Chicago/3963-W-Belmont-Ave-60618/unit-423/home/40376178,41.9388685,-87.7265348,"$299,000",nan,$nan,blue,830,3963 W Belmont Ave #423 Chicago
435,April-24-2023,1610 Monroe St Unit 1E,Evanston,299000.0,3.0,2.0,Evanston,,,181.0,https://www.redfin.com/IL/Evanston/1610-Monroe-St-60202/unit-1E/home/13604308,42.0305085,-87.695498,"$299,000",nan,$181,blue,831,1610 Monroe St Unit 1E Evanston
665,April-19-2023,916 W Fullerton Ave Unit G,Chicago,298000.0,2.0,1.0,CHI - Lincoln Park,1900.0,,,https://www.redfin.com/IL/Chicago/916-W-Fullerton-Ave-60614/unit-G/home/13360440,41.925621,-87.6519652,"$298,000",1900,$nan,blue,832,916 W Fullerton Ave Unit G Chicago
1072,April-7-2023,2112 W Rice St #1,Chicago,297835.0,1.0,1.0,CHI - West Town,2013.0,,284.0,https://www.redfin.com/IL/Chicago/2112-W-Rice-St-60622/unit-1/home/45488377,41.8969585,-87.6801805,"$297,835",2013,$284,blue,833,2112 W Rice St #1 Chicago
1476,April-12-2023,221 N Kenilworth Ave #404,Oak Park,297500.0,2.0,2.0,Oak Park,1975.0,,241.0,https://www.redfin.com/IL/Oak-Park/221-N-Kenilworth-Ave-60302/unit-404/home/13272573,41.8909407,-87.798308,"$297,500",1975,$241,blue,834,221 N Kenilworth Ave #404 Oak Park
844,April-25-2023,1340 W Irving Park Rd #3,Chicago,296000.0,2.0,1.0,CHI - Lake View,1914.0,,296.0,https://www.redfin.com/IL/Chicago/1340-W-Irving-Park-Rd-60613/unit-3/home/12743227,41.954588,-87.663889,"$296,000",1914,$296,blue,835,1340 W Irving Park Rd #3 Chicago
372,April-14-2023,212 W Washington St #1607,Chicago,295000.0,2.0,2.0,CHI - Loop,1913.0,,263.0,https://www.redfin.com/IL/Chicago/212-W-Washington-St-60606/unit-1607/home/113098289,41.8833756,-87.634418,"$295,000",1913,$263,blue,836,212 W Washington St #1607 Chicago
1670,April-3-2023,1250 N Dearborn St Unit 21D,Chicago,295000.0,2.0,2.0,CHI - Near North Side,1989.0,,,https://www.redfin.com/IL/Chicago/1250-N-Dearborn-St-60610/unit-21D/home/14111326,41.905353,-87.6304342,"$295,000",1989,$nan,blue,837,1250 N Dearborn St Unit 21D Chicago
1052,April-21-2023,1645 W School St #308,Chicago,295000.0,1.0,1.0,CHI - Lake View,1944.0,,328.0,https://www.redfin.com/IL/Chicago/1645-W-School-St-60657/unit-308/home/12774498,41.9412632,-87.6702067,"$295,000",1944,$328,blue,838,1645 W School St #308 Chicago
1725,April-7-2023,1346 W Fillmore St #1,Chicago,295000.0,2.0,1.0,CHI - Near West Side,2000.0,,268.0,https://www.redfin.com/IL/Chicago/1346-W-Fillmore-St-60607/unit-1/home/26818450,41.8687492,-87.6609499,"$295,000",2000,$268,blue,839,1346 W Fillmore St #1 Chicago
1217,April-17-2023,3430 N Lake Shore Dr Unit 12L,Chicago,295000.0,2.0,2.0,CHI - Lake View,1955.0,,246.0,https://www.redfin.com/IL/Chicago/3430-N-Lake-Shore-Dr-60657/unit-12L/home/13376711,41.9443489,-87.641482,"$295,000",1955,$246,blue,840,3430 N Lake Shore Dr Unit 12L Chicago
1038,April-6-2023,1 E Scott St #2009,Chicago,295000.0,1.0,1.0,CHI - Near North Side,1969.0,,,https://www.redfin.com/IL/Chicago/1-E-Scott-St-60610/unit-2009/home/14125327,41.9044611,-87.6282767,"$295,000",1969,$nan,blue,841,1 E Scott St #2009 Chicago
1410,April-3-2023,627 Washington Blvd #1,Oak Park,294000.0,3.0,2.0,Oak Park,1928.0,,245.0,https://www.redfin.com/IL/Oak-Park/627-Washington-Blvd-60302/unit-1/home/18921496,41.8813091,-87.7906091,"$294,000",1928,$245,blue,842,627 Washington Blvd #1 Oak Park
162,April-21-2023,102 Stirling Ln Unit Z2,Schaumburg,293599.0,3.0,2.0,Towne Place,1995.0,,,https://www.redfin.com/IL/Schaumburg/102-Stirling-Ln-60194/unit-Z2/home/13734831,42.026272,-88.1384159,"$293,599",1995,$nan,blue,843,102 Stirling Ln Unit Z2 Schaumburg
1409,April-27-2023,6033 N Sheridan Rd Unit 37E,Chicago,293500.0,2.0,2.0,CHI - Edgewater,1971.0,,191.0,https://www.redfin.com/IL/Chicago/6033-N-Sheridan-Rd-60660/unit-37E/home/13410398,41.9920625,-87.6547759,"$293,500",1971,$191,blue,844,6033 N Sheridan Rd Unit 37E Chicago
763,April-14-2023,709 W Bittersweet Pl Unit K6,Chicago,293000.0,2.0,1.0,CHI - Uptown,1906.0,,293.0,https://www.redfin.com/IL/Chicago/709-W-Bittersweet-Pl-60613/unit-K6/home/13394889,41.955521,-87.647891,"$293,000",1906,$293,blue,845,709 W Bittersweet Pl Unit K6 Chicago
828,April-4-2023,440 N Mcclurg Ct #506,Chicago,292500.0,1.0,1.0,CHI - Near North Side,1991.0,,,https://www.redfin.com/IL/Chicago/440-N-McClurg-Ct-60611/unit-506/home/183893789,41.890229,-87.617849,"$292,500",1991,$nan,blue,846,440 N Mcclurg Ct #506 Chicago
208,April-20-2023,2800 N Lake Shore Dr #3404,Chicago,292500.0,1.0,1.0,CHI - Lake View,1969.0,,,https://www.redfin.com/IL/Chicago/2800-N-Lake-Shore-Dr-60657/unit-3404/home/13370320,41.9332026,-87.6371393,"$292,500",1969,$nan,blue,847,2800 N Lake Shore Dr #3404 Chicago
60,April-28-2023,2020 N Lincoln Park West Unit 36J,Chicago,292500.0,1.0,1.0,CHI - Lincoln Park,1971.0,,375.0,https://www.redfin.com/IL/Chicago/2020-N-Lincoln-Park-W-60614/unit-36J/home/185292170,41.9188778,-87.6366791,"$292,500",1971,$375,blue,848,2020 N Lincoln Park West Unit 36J Chicago
1275,April-12-2023,1155 W Roosevelt Rd #304,Chicago,291000.0,2.0,2.0,CHI - Near West Side,2006.0,,269.0,https://www.redfin.com/IL/Chicago/1155-W-Roosevelt-Rd-60608/unit-304/home/18924051,41.8667574,-87.6561538,"$291,000",2006,$269,blue,849,1155 W Roosevelt Rd #304 Chicago
1363,April-28-2023,212 W Washington St #908,Chicago,290000.0,2.0,2.0,CHI - Loop,1911.0,,246.0,https://www.redfin.com/IL/Chicago/212-W-Washington-St-60606/unit-908/home/113097956,41.8833756,-87.634418,"$290,000",1911,$246,blue,850,212 W Washington St #908 Chicago
1315,April-14-2023,1322 S Prairie Ave #1211,Chicago,290000.0,1.0,1.0,CHI - Near South Side,,,331.0,https://www.redfin.com/IL/Chicago/1322-S-Prairie-Ave-60605/unit-1211/home/12694210,41.8651368,-87.6216764,"$290,000",nan,$331,blue,851,1322 S Prairie Ave #1211 Chicago
490,April-14-2023,100 N Hermitage Ave #603,Chicago,290000.0,2.0,2.0,CHI - Near West Side,2006.0,,232.0,https://www.redfin.com/IL/Chicago/100-N-Hermitage-Ave-60612/unit-603/home/18939055,41.883749,-87.6708716,"$290,000",2006,$232,blue,852,100 N Hermitage Ave #603 Chicago
303,April-11-2023,3500 S Sangamon St #306,Chicago,290000.0,2.0,1.0,Union Lofts,1913.0,,242.0,https://www.redfin.com/IL/Chicago/3500-S-Sangamon-St-60609/unit-306/home/12663054,41.8304164,-87.6497395,"$290,000",1913,$242,blue,853,3500 S Sangamon St #306 Chicago
1176,April-26-2023,401 E Ontario St #3205,Chicago,290000.0,1.0,1.0,Streeterville,1990.0,,414.0,https://www.redfin.com/IL/Chicago/401-E-Ontario-St-60611/unit-3205/home/12765218,41.893211,-87.616401,"$290,000",1990,$414,blue,854,401 E Ontario St #3205 Chicago
17,April-19-2023,710 Creekside Dr #309,Mount Prospect,290000.0,2.0,2.0,Creekside,1996.0,,201.0,https://www.redfin.com/IL/Mt-Prospect/710-Creekside-Dr-60056/unit-309/home/184721659,42.088524,-87.9439763,"$290,000",1996,$201,blue,855,710 Creekside Dr #309 Mount Prospect
1096,April-26-2023,2025 Sherman Ave #205,Evanston,290000.0,2.0,2.0,Evanston,1970.0,,242.0,https://www.redfin.com/IL/Evanston/2025-Sherman-Ave-60201/unit-205/home/13582289,42.0546076,-87.6811478,"$290,000",1970,$242,blue,856,2025 Sherman Ave #205 Evanston
1431,April-27-2023,1901 S Calumet Ave #811,Chicago,290000.0,1.0,1.0,CHI - Near South Side,2007.0,,395.0,https://www.redfin.com/IL/Chicago/1901-S-Calumet-Ave-60616/unit-811/home/21790054,41.8562269,-87.6185993,"$290,000",2007,$395,blue,857,1901 S Calumet Ave #811 Chicago
813,April-19-2023,1455 N Sandburg Ter Unit 2306B,Chicago,290000.0,1.0,1.0,Gold Coast Galleria,1969.0,,326.0,https://www.redfin.com/IL/Chicago/1455-N-Sandburg-Ter-60610/unit-2306B/home/14115454,41.9088719,-87.6320457,"$290,000",1969,$326,blue,858,1455 N Sandburg Ter Unit 2306B Chicago
