Name,Region,Research URL,Description,Use Case,Data type,Brokerage type,Notes
Coord,National,https://www.coord.com/,,,Traffic,N/A,Site appears to be down/inactive.
Placer. ai,National,https://www.placer.ai/,Provides consumer foot-traffic data.,Developers and brokers can find unique oppertunities based on highly accurate foot traffic data. Investors and developers will also find this useful in evaluating new projects.,Retail,N/A,
Opportunity Insights,National,https://tracktherecovery.org/,"This website contains datasets which track the economic impacts of COVID-19 on people, businesses, and communities across the United States in real time.
","Brokers, investors, and developers can quickly see a high level over view of the effects of COVID and how things change moving forward, which can serve as a useful market benchmark as well as provide a better perspective on the time horizon for future deals at prior volumes",Economic recovery,N/A,Tracker no longer appears up to date. Consider deleting.
Walk Score,National,https://www.walkscore.com/professional/api.php,For tracking foot traffic at retail hubs or any location.,Brokers can find foot traffic numbers for properties.,Commercial,N/A,
RentCast,National,https://www.rentcast.io/api,For rent estimates on properties.,Brokers can find rent estimates.,Residential,N/A,Formerly Rapid - their rent estimate API will be discontinued on 3/1/2025.
DashCMA (requires payment),National,https://dashcma.com/,Tool for pricing homes,Helps agents to better price homes,Pricing,N/A,Shut down? Possibly acquired by Inside Real Estate...
SmartZip Analytics,National,https://smartzip.com/data.cfm,Predictive marketing tool.,Helps brokers to target homeowners who are most likely to sell their proeprties.,Marketing,N/A,
Preqin,National,https://www.preqin.com/data/real-estate,Alternative investment research specialists who provide contact details and full investment history of investors.,"Gives investors access to investment history, future plans and contact details of real estate funds.",Investment,N/A,
Dodge Construction Network,National,https://www.construction.com/products,Construction data and analytics firm.,Firms can get leads on construction projects.,Construction,N/A,
Dun & Bradstreet (formerly Hoovers),National,https://developer.dnb.com/#/home,Commercial data and analytics.,"For finance firms: due diligence (review company financials and risks), operations (regulatory compliance).",Finance,N/A,
Esri,National,https://developers.arcgis.com/,Location mapping software.,For developers: site selection.,Development,N/A,
Mergent Online,National,https://www.mergentonline.com/login.php,Provides financial information on U.S. and Canadian companies.,For investors: due diligence; provides info like balance sheet and cash statements.,Finance,N/A,
LexisNexis,National,https://www.lexisnexis.com/en-us/professional/data-as-a-service/daas.page,Legal and business research platform.,Users can dig deep into lawsuits and company information.,Finance,N/A,
ISS Governance,National,https://www.issgovernance.com/esg/ratings/governance-qualityscore/,Analyzes the governance of companies.,Investors can identify a company's governance risks.,Finance,N/A,
LSEG Data & Analytics,National,https://www.lseg.com/en/data-analytics,"Data platform covering investment banks, funds, commodities, etc. ",Provides APIs for the financial industry.,Finance,N/A,Formerly Refinitiv
Nasdaq,National,https://www.nasdaq.com/solutions/cloud-data-service,Provides data on performance of indices and public companies.,Investors can see the stock performance of possible targets.,Finance,N/A,
FamilySearch,National,https://www.familysearch.org/developers/docs/guides/getting-started,Genealogy website.,"Brokers can get leads from list of births, marriages, deaths, etc.",Residential,N/A,
Estated,National,https://estated.com/property-data-api,Property data website.,"Provides simplified property data API, also includes valuations.",Residential,N/A,
Moody's,National,https://www.moodyscre.com/capabilities/data/,Commercial real estate data platform.,"Developers can see construction, property and transaction data to help identify targets.",Commercial,N/A,
Reonomy,National,https://api.reonomy.com/v2/docs/,Commercial real estate data platform.,Brokers can get info on properties; buyers can get overview of assets of owners.,Commercial,N/A,
Rapid IdealSpot,National,https://rapidapi.com/idealspot-inc-idealspot-inc-default/api/idealspot-geodata,Traffic data provider.,"Brokers can get traffic data for retail, office locations.",Commercial,N/A,
Nareit,National,https://www.reit.com/news/publications,Publishes reports/publications on public REIT stocks.,"Users can compare REIT performance to the broader stock market, see asset class performance and more.","Commercial, REITs",N/A,
Compass,"NYC, LA, CT",https://www.compass.com/research/,"Residential brokerage serving NYC, LA, CT.",Brokers and consumers can see current and historical transaction data.,Residential,Residential,
Corcoran Group,"NYC, FL",https://inhabit.corcoran.com/category/market-reports/,Residential brokerage serving NYC and FL.,"Publishes monthly market reports on areas like Brooklyn, Manhattan, Miami, etc.",Residential,Residential,
Douglas Elliman Residential Real Estate,"NY, FL, CT, TX, CO, MA",https://www.elliman.com/corporate-resources/market-reports,"Residential brokerage serving NYC, FL, CT, TX, CO and MA.",Publishes monthly residential market reports.,Residential,Residential,
Brown Harris Stevens,"NYC, FL, CT, NJ",https://www.bhsusa.com/market-reports,"Residential brokerage serving NYC, FL, CT and NJ.",Publishes quarterly residential market reports.,Residential,Residential,
R New York,NYC,https://www.wernewyork.com/Home/Reports,Residential brokerage serving NYC.,Publishes quarterly residential market reports.,,Residential,
Nest Seekers International,"NYC, International",https://www.nestseekers.com/Guides/MarketReports,Residential brokerage serving NYC and many global markets.,Publishes monthly residential trend reports.,Residential,Residential,
Bond New York Properties,NYC,https://www.bondnewyork.com/manhattan_apartment_renters,Manhattan and Brooklyn residential brokerage.,Publishes quarterly residential market reports on Brooklyn and Manhattan.,Residential,Residential,
eXp Realty,National,https://www.exprealty.com/guides,Residential and commercial brokerage.,Publishes trend articles and resources for property buyers.,Residential and Commercial,Residential,
Daniel Gale Sotheby's International Realty,NYC,https://www.danielgale.com/daniel-gale-sothebys-international-realty-market-reports,"Residential brokerage service Long Island, Brooklyn and Queens.","Publishes quarterly and bi-annual market reports on Queens, Long Island and Brooklyn, plus property listings.",Residential,Residential,
Queens Home Team,NYC,https://www.queenshometeam.com/blog/,Queens property data provider.,Publishes quarterly residential market reports for Queens.,Residential,Residential,
Triplemint,NYC,https://www.triplemint.com/blog/,,,Residential,Residential,"Site appears down - poking around the main website, I don't think they have data/a blog anymore. I'd delete."
Elegran,NYC,https://www.elegran.com/blog,Manhattan and Brooklyn residential brokerage.,Publishes weekly Manhattan and Brooklyn market updates.,Residential,Residential,
Bohemia Realty Group,NYC,https://bohemiarealtygroup.com/market-report#,New York city and state residential brokerage.,"Publishes New York housing market data, like number of new properties on the market, etc.",Residential,Residential,
Weichert Properties,NYC,http://www.weichertpropertiesnyc.com/Home/Reports,Residential brokerage,Market reports,Residential,Residential,Reports stopped in 2018 - consider deleting
CORE Real Estate,NYC,https://corenyc.com/data/,Residential brokerage,,Residential,Residential,No reports any more -- consider deleting
City Connections Realty,NYC,https://www.ccrny.com/market-reports,Residential and commercial brokerage serving NYC.,"Publishes data snapshots of how long a listing has been on the market, inventory and median sales price.",Residential,Residential and Commercial,Data provided by UrbanDigs
CBRE,Worldwide,https://www.cbre.com/research-and-reports,Global commercial real estate services firm.,"Publishes quarterly and yearly reports on metrics like demand, vacancy, etc. in various sectors, like office, multifamily and industrial and across various markets.",Commercial,Commercial,
Cushman & Wakefield,National,https://www.cushmanwakefield.com/en/united-states/insights,U.S.-based commercial real estate services firm.,"Publishes quarterly and yearly reports on demand, vacancy, etc. in various sectors, like office, multifamily and industrial and across various markets.",Commercial,Commercial,
JLL,National,https://www.us.jll.com/en/trends-and-insights/research,U.S.-based commercial real estate services firm.,"Publishes quarterly and yearly reports on demand, vacancy, etc. in various sectors, like office, multifamily and industrial and across various markets.",Commercial,Commercial,
Newmark,National,https://www.nmrk.com/insights?type=Market%20Reports,U.S.-based commercial real estate services firm.,"Publishes quarterly and yearly reports on demand, vacancy, etc. in various sectors, like office, multifamily and industrial and across various markets.",Commercial,Commercial,
Colliers,National,https://www2.colliers.com/en/research#sort=%40datez32xpublished%20descending,U.S.-based commercial real estate services firm.,"Publishes quarterly and yearly reports on demand, vacancy, etc. in various sectors, like office, multifamily and industrial and across various markets.",Commercial,Commercial,
Savills,Worldwide,https://www.savills.com/insight-and-opinion/research.aspx?rc=World,Global commercial real estate services firm.,"Publishes regular reports on demand, vacancy, etc. in various sectors, like office, multifamily and industrial and across various markets globally.",Commercial,Commercial,
Marcus & Millichap,National,https://www.marcusmillichap.com/research,U.S.-based commercial real estate services firm.,"Publishes quarterly and yearly reports on demand, vacancy, etc. in various sectors, like office, multifamily and industrial and across various markets.",Commercial,Commercial,
TCN Worldwide Real Estate Services,National,https://www.tcnworldwide.com/market-reports/,U.S.-based commercial real estate services firm.,Publishes semi-regular market reports on various markets globally.,Commercial,Commercial,
Avison Young,Worldwide,https://www.avisonyoung.com/en_US/market-reports,Global commercial real estate services firm.,Publishes quarterly market reports on various asset classes in markets across the U.S.,Commercial,Commercial,
Lee & Associates,National,https://www.lee-associates.com/research/,U.S.-based commercial real estate services firm.,Publishes quarterly market reports on various asset classes in markets across the U.S.,Commercial,Commercial,
SVN International,National,https://svn.com/category/svn-research/,U.S.-based commercial real estate services firm.,Publishes yearly trend and market reports.,Commercial,Commercial,
Transwestern,National,https://transwestern.com/market-reports,U.S.-based commercial real estate services firm.,"Publishes regular reports on demand, vacancy, etc. in various sectors.",Commercial,Commercial,
Coldwell Banker Commercial,Worldwide,https://www.cbcworldwide.com/blog,Global commercial real estate services firm.,Publishes semi-regular market reports on various markets globally.,Commercial,Commercial,
Berkadia,National,https://www.berkadia.com/research-and-resources/,U.S.-based commercial real estate services and financing firm.,"Publishes articles on macroeconomic indicators, asset outlooks.",Commercial,Commercial,
Kidder Mathews,National,https://kidder.com/market-reports/,U.S.-based commercial real estate services firm.,Publishes quarterly market reports on various asset classes in markets across the U.S.,Commercial,Commercial,
Commercial Properties Inc.,National,https://cpiaz.com/cpi-reports3/,U.S.-based commercial real estate services firm.,"Publishes quarterly market reports on the office, industrial and retail sectors.",Commercial,Commercial,
Cawley Commercial Real Estate,Chicago,https://cawleychicago.com/blog/,Commercial real estate services firm serving Chicago and the greater Midwest area.,Publishes quarterly market reports on various asset classes in Chicago.,Commercial,Commercial,Not updated since 2023.
Pearson Realty Group,Chicago,https://www.pearsonrealtygroup.com/real-estate/market-reports/,Chicago-based real estate firm,Publishes semi-regular market reports on Chicago-area properties.,Commercial and Residential,Residential and Commercial,
RentCafe,National,https://www.rentcafe.com/average-rent-market-trends/us/il/chicago/,Rentals database firm.,Brokers and consumers can look up average rents in a metro area.,Residential,N/A,"I would use this link instead, as they have data outside of Chicago: https://www.rentcafe.com/blog/category/rental-market/rental-activity-report/"
Redfin,National,https://www.redfin.com/news/data-center/,Home sales listing service and database.,Publishes a home price index that tracks sales price changes nationally for brokers and home buyers and sellers.,Residential,Residential,
Apartment List,National,https://www.apartmentlist.com/research,Rental listings site and data provider.,"Publishes rent estimates, home ownership reports and more largely for consumers.",Residential,N/A,
Zillow,National,https://www.zillow.com/research/data/,Rental and home sales listings platform.,Buyers can calculate mortgage payments and look at forecast home values.,Residential,N/A,
StreetEasy,NYC,https://streeteasy.com/blog/nyc-housing-market-data/market-reports/,Rental and home sales in NYC and NJ.,"Brokers, buyers and sellers look up extensive building info and transaction history for properties, along with listings on the market.",Residential,N/A,
LoopNet,National,https://www.loopnet.com/learn/trends/,Database to connect commercial tenants and buyers.,"Landlords and tenants can look into open commercial leases. Also publishes trend articles and semi-regular, general market reports.",Commercial,N/A,
SquareFoot,National,https://www.squarefoot.com/blog/,Office space listings platform for major cities across the U.S.,Tenants and office landlords can calculate how much office space a tenant needs.,Commercial,N/A,
Ten-X,National,https://www.ten-x.com/knowledge-center,Commercial real estate auction platform.,Buyers can look into auctions. Also publishes trend articles on the commercial real estate industry.,Commercial,N/A,
Nikki Field - The Field Team,NYC,https://nikkifield.com/market-reports,NYC-based luxury residential brokerage.,Publishes quarterly data on Manhattan luxury sales market.,Residential,Residential,
One Sotheby's International Realty,Miami,https://www.onesothebysrealty.com/blog/category/real-estate-market-report/,Residential brokerage serving Florida's east coast.,Publishes market reports on home sales data for Florida's east coast.,Residential,Residential,
Coldwell Banker Residential Real Estate,National,https://blog.coldwellbanker.com/,Residential brokerage,Publishes general trend articles on residential real estate.,Residential,Residential,These articles are very broad vs market reports
Berkshire Hathaway HomeServices EWM Realty,Miami,https://www.ewm.com/market-report.php,Residential brokerage serving the Miami area.,"Publishes market reports include stats like average listing price, price reductions, new listings, etc.",Residential,Residential,
Keyes Company,Miami,https://www.keyes.com/,Florida-based residential brokerage.,"Agents and buyers can search property listings, and their blog has general trend articles.",Residential,Residential,
Engel & Volkers,Worldwide,https://www.evrealestate.com/blog/,Global home sales and rentals brokerage.,Buyers and agents can search for global home listings; blog has global market reports.,Residential,Residential,
Berkshire Hathaway HomeServices New England Properties,New England,https://www.bhhsneproperties.com/market-trends#,New England residential brokerage.,"Publishes monthly market reports for counties in states like CT, MA, NY and RI.",Residential,Residential,
Best Chicago Properties,Chicago,https://www.bestchicagoproperties.com/chicago-home-buyers-guide/chicago-real-estate-trends/,Chicago residential brokerage.,"Publishes metrics like average time on the market, average sales price and inventory stats.",Residential,Residential,
Baird & Warner,Chicago,https://www.bairdwarner.com/our-neighborhoods/worth,Chicago residential brokerage.,"Publishes Chicago-area neighborhood-level residential stats like average time on the market, etc.",Residential,Residential,
Dream Town Realty,Chicago,https://www.dreamtown.com/market-trends,Chicago residential brokerage.,"Publishes Chicago-area neighborhood-level residential stats like what inventory is like, etc.",Residential,Residential,
Rocket,National,https://www.rockethomes.com/real-estate-trends/il/chicago,"Platform to connect home buyers and sellers with agents, listings and finance options. Also a mortgage provider.","Home buyers can search for an agent, property listing or loan.",Residential,Residential,More of a mortgage broker versus property brokerage.
Westside Estate Agency,Los Angeles,https://weahomes.com/news/,Residential brokerage for luxury properties in Los Angeles.,Provides micro market reports quarterly on luxury Los Angeles homes.,Residential,Residential,
Hilton & Hyland,Los Angeles,,Luxury Los Angeles residential brokerage.,,,Residential,No reports anymore (broken link) -- consider deleting?
The Agency,Los Angeles,https://www.theagencyre.com/red-paper-annual-report,Luxury Los Angeles residential brokerage.,"Publishes The Red Report, a look into luxury sales annually.",Residential,Residential,
Rodeo Realty,Los Angeles,https://www.rodeore.com/market-trends,Luxury Los Angeles residential brokerage.,Publishes market reports.,Residential,Residential,
Nourmand and Associates,Los Angeles,,Los Angeles residential brokerage,,,Residential,"No reports anymore (broken link) -- consider deleting? They have this blog, no market reports: https://nourmand.com/blog?e0071725d3744ccfa428546831595d50=3"
Smith & Berg Property Group,Los Angeles,https://smithandberg.com/quarterly-reports,Los Angeles residential brokerage.,Publishes quarterly residential market reports for Los Angeles.,Residential,Residential,
