,Project Type,Project Name,Association Name,City,Zip,County,ID,Address,__lat,__lon,__geocode_status
1355,CONDOMINIUM,"DANIA CHATEAU DE VILLE C.A., INC. SIRS COMPONENTS",DANIA CHATEAU DE VILLE,DANIA BEACH,33004,BROWARD,313416,"DANIA CHATEAU DE VILLE, DANIA BEACH, FL 33004",26.0401001,-80.1366096,OK
1356,CONDOMINIUM,MEADOWBROOK LAKES,MEADOWBROOK LAKES CONDO APTS BLDG 1,DANIA BEACH,33004,BROWARD,264574,"MEADOWBROOK LAKES CONDO APTS BLDG 1, DANIA BEACH, FL 33004",26.0388611,-80.1397396,OK
1357,CONDOMINIUM,MEADOWBROOK LAKES BUILDING 11,MEADOWBROOK LAKES BUILDING 11,DANIA BEACH,33004,BROWARD,208958,"MEADOWBROOK LAKES BUILDING 11, DANIA BEACH, FL 33004",26.0484249,-80.136901,OK
1358,CONDOMINIUM,MEADOWBROOK LAKES CONDO #4,MEADOWBROOK LAKES CONDO APT BLDG. 4 INC.,DANIA BEACH,33004,BROWARD,284806,"MEADOWBROOK LAKES CONDO APT BLDG. 4 INC., DANIA BEACH, FL 33004",26.0388611,-80.1397396,OK
1359,CONDOMINIUM,MEADOWBROOK LAKES CONDO 11 ASSN INC,MEADOWBROOK LAKES BUILDING 11,DANIA BEACH,33004,BROWARD,208979,"MEADOWBROOK LAKES BUILDING 11, DANIA BEACH, FL 33004",26.0484249,-80.136901,OK
1360,CONDOMINIUM,MEADOWBROOK LAKES CONDO 18 ASSN INC,MEADOWBROOK LAKES CONDO 18 ASSN INC,DANIA BEACH,33004,BROWARD,263165,"MEADOWBROOK LAKES CONDO 18 ASSN INC, DANIA BEACH, FL 33004",26.0388611,-80.1397396,OK
1361,CONDOMINIUM,MEADOWBROOK LAKES CONDO APTS BLDG 16,MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING #16,DANIA BEACH,33004,BROWARD,201699,"MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING #16, DANIA BEACH, FL 33004",26.0484249,-80.136901,OK
1362,CONDOMINIUM,MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING #5 INC,MEADOWBROOK LAKES CONDO 5,DANIA BEACH,33004,BROWARD,253506,"MEADOWBROOK LAKES CONDO 5, DANIA BEACH, FL 33004",26.0388611,-80.1397396,OK
1363,CONDOMINIUM,"MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING #7, INC.","MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING #7, INC.",DANIA BEACH,33004,BROWARD,235799,"MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING #7, INC., DANIA BEACH, FL 33004",26.0484249,-80.136901,OK
1364,CONDOMINIUM,MEADOWBROOK LAKES CONDOMINIUM PHASE II - BUILDING 9,"MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING 9, INC.",DANIA BEACH,33004,BROWARD,239145,"MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING 9, INC., DANIA BEACH, FL 33004",26.0484249,-80.136901,OK
1365,CONDOMINIUM,"MEADOWBROOK LAKES, BUILDING 18 DANIA BEACH, FL",MEADOWBROOK LAKES CONDO 18 ASSN INC,DANIA BEACH,33004,BROWARD,209044,"MEADOWBROOK LAKES CONDO 18 ASSN INC, DANIA BEACH, FL 33004",26.0388611,-80.1397396,OK
1366,CONDOMINIUM,PALM VILLAGE CLUB CONDO,PALM VILLAGE CLUB CONDOMINIUM ASSOCIATION INC,DANIA BEACH,33004,BROWARD,261499,"PALM VILLAGE CLUB CONDOMINIUM ASSOCIATION INC, DANIA BEACH, FL 33004",26.0182135,-80.15962259999999,OK
1367,CONDOMINIUM,PR1S002872,MEADOWBROOK LAKES CONDOMINIUM APTS BLDG 10,DANIA BEACH,33004,BROWARD,212871,"MEADOWBROOK LAKES CONDOMINIUM APTS BLDG 10, DANIA BEACH, FL 33004",26.0484249,-80.136901,OK
1368,CONDOMINIUM,SHERIDAN BEACH CLUB CONDO NUMBER TWO,SHERIDAN BEACH CLUB CONDO ASSN NUMBER TWO INC,DANIA BEACH,33004,BROWARD,269267,"SHERIDAN BEACH CLUB CONDO ASSN NUMBER TWO INC, DANIA BEACH, FL 33004",26.0343857,-80.1326959,OK
1369,CONDOMINIUM,SHERIDAN EAST CONDOMINIUM ASSOCIATIONQ,SHERIDAN EAST CONDOMINIUM  ASSOCIATION,DANIA BEACH,33004,BROWARD,234484,"SHERIDAN EAST CONDOMINIUM  ASSOCIATION, DANIA BEACH, FL 33004",26.0342731,-80.1393899,OK
1370,CONDOMINIUM,SIRS STRUCTURAL INTEGRITY RESERVE STUDY,MEADOWBROOK LAKES CONDOMINIUM 3 INC,DANIA BEACH,33004,BROWARD,247935,"MEADOWBROOK LAKES CONDOMINIUM 3 INC, DANIA BEACH, FL 33004",26.0484249,-80.136901,OK
1371,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVE STUDY,"MEADOWBROOK LAKES CONDOS/APTS BLDG 2 INC. 202 SE 10TH STREET DANIA BEACH , FL 33004",DANIA BEACH,33004,BROWARD,259844,"MEADOWBROOK LAKES CONDOS/APTS BLDG 2 INC. 202 SE 10TH STREET DANIA BEACH , FL 33004, DANIA BEACH, FL 33004",26.0388611,-80.1397396,OK
1372,COOPERATIVE,COASTAL VII APARTMENTS INC,COASTAL VII APARTMENTS INC,HALLANDALE,33009,BROWARD,307370,"COASTAL VII APARTMENTS INC, HALLANDALE, FL 33009",25.9812024,-80.14837899999999,OK
1373,COOPERATIVE,PARADISE HARBOUR APTS. INC,PARADISE HARBOUR APT. INC,HALLANDALE,33009,BROWARD,299869,"PARADISE HARBOUR APT. INC, HALLANDALE, FL 33009",25.9818047,-80.1259683,OK
1374,CONDOMINIUM,"APRIL MIST ASSOCIATION, INC. A CONDOMINIUM ASSOCIATION","APRIL MIST ASSOCIATION, INC. A CONDOMINIUM ASSOCIATION",HALLANDALE,33009,BROWARD,232024,"APRIL MIST ASSOCIATION, INC. A CONDOMINIUM ASSOCIATION, HALLANDALE, FL 33009",25.986868,-80.13519029999999,OK
1375,CONDOMINIUM,ELDORADO COUNTRY CLUB TOWERS NORTH ASOCIATION,ELDORADO COUNTRY CLUB TOWERS NORTH ASOCIATION,HALLANDALE,33009,BROWARD,320457,"ELDORADO COUNTRY CLUB TOWERS NORTH ASOCIATION, HALLANDALE, FL 33009",25.9881053,-80.1360942,OK
1376,CONDOMINIUM,ELDORADO COUNTRY CLUB TOWERS NORTH ASSOCIATION,ELDORADO COUNTRY CLUB TOWERS NORTH ASOCIATION,HALLANDALE,33009,BROWARD,314272,"ELDORADO COUNTRY CLUB TOWERS NORTH ASOCIATION, HALLANDALE, FL 33009",25.9881053,-80.1360942,OK
1377,CONDOMINIUM,IMPERIAL TOWERS NORTH SIRS,IMPERIAL TOWERS NORTH SIRS,HALLANDALE,33009,BROWARD,250129,"IMPERIAL TOWERS NORTH SIRS, HALLANDALE, FL 33009",25.9859507,-80.12031189999999,OK
1378,CONDOMINIUM,"MEADOWBROOK CONDOMINIUM APARTMENTS BUILDING # 4, INC.",MEADOWBROOK CONDO #4,HALLANDALE,33009,BROWARD,255643,"MEADOWBROOK CONDO #4, HALLANDALE, FL 33009",25.9922078,-80.174333,OK
1379,CONDOMINIUM,MEADOWBROOK TOWERS CONDO F,MEADOWBROOK TOWERS CONDO F,HALLANDALE,33009,BROWARD,232812,"MEADOWBROOK TOWERS CONDO F, HALLANDALE, FL 33009",25.996162,-80.13608490000001,OK
1380,CONDOMINIUM,PRINCE GEORGE CONDO,PRINCE GEORGE CONDO,HALLANDALE,33009,BROWARD,240857,"PRINCE GEORGE CONDO, HALLANDALE, FL 33009",25.983723,-80.12051799999999,OK
1381,CONDOMINIUM,SEA EDGE CONDOMINIUM,SEA EDGE CONDOMINIUM,HALLANDALE,33009,BROWARD,246036,"SEA EDGE CONDOMINIUM, HALLANDALE, FL 33009",25.976847,-80.11912199999999,OK
1382,CONDOMINIUM,SIRS REPORT,ATLANTIC SHORES CONDO,HALLANDALE,33009,BROWARD,289642,"ATLANTIC SHORES CONDO, HALLANDALE, FL 33009",25.9943813,-80.13706180000001,OK
1383,CONDOMINIUM,TOWERS OF OCEANVIEW POINT,200 LESLIE CONDOMINIUM ASSOCIATION INC,HALLANDALE,33009,BROWARD,276543,"200 LESLIE CONDOMINIUM ASSOCIATION INC, HALLANDALE, FL 33009",25.990604,-80.12192,OK
