,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS
1533,March-6-2023,1525 N Milwaukee Ave Unit 2R,Chicago,435000.0,2.0,2.0,CHI - West Town,1907.0,,300.0,https://www.redfin.com/IL/Chicago/1525-N-Milwaukee-Ave-60622/unit-2R/home/28449891,41.9093969,-87.6755127,"$435,000",1907,$300,blue,474,1525 N Milwaukee Ave Unit 2R Chicago
71,March-23-2023,1740 W Belmont Ave Unit 2R,Chicago,435000.0,2.0,2.0,CHI - Lake View,2001.0,,,https://www.redfin.com/IL/Chicago/1740-W-Belmont-Ave-60657/unit-2R/home/12700142,41.9399117,-87.6727112,"$435,000",2001,$nan,blue,475,1740 W Belmont Ave Unit 2R Chicago
62,March-10-2023,853 N Wood St #2,Chicago,435000.0,2.0,2.0,CHI - West Town,2001.0,,,https://www.redfin.com/IL/Chicago/853-N-Wood-St-60622/unit-2/home/12724572,41.8975542,-87.6719361,"$435,000",2001,$nan,blue,476,853 N Wood St #2 Chicago
570,March-17-2023,100 Prairie Park Dr #412,Wheeling,430000.0,2.0,2.0,Prairie Park at Wheeling,2008.0,,252.0,https://www.redfin.com/IL/Wheeling/100-Prairie-Park-Dr-60090/unit-412/home/26782778,42.1499674,-87.9193075,"$430,000",2008,$252,blue,477,100 Prairie Park Dr #412 Wheeling
1775,March-15-2023,505 N Lake Shore Dr #1812,Chicago,430000.0,1.0,1.0,CHI - Near North Side,1968.0,,391.0,https://www.redfin.com/IL/Chicago/505-N-Lake-Shore-Dr-60611/unit-1812/home/14095939,41.8915839,-87.6126983,"$430,000",1968,$391,blue,478,505 N Lake Shore Dr #1812 Chicago
142,March-31-2023,2020 N Lincoln Park West Unit 19A,Chicago,430000.0,2.0,2.0,CHI - Lincoln Park,1972.0,,,https://www.redfin.com/IL/Chicago/2020-N-Lincoln-Park-W-60614/unit-19A/home/13347313,41.9188778,-87.6366791,"$430,000",1972,$nan,blue,479,2020 N Lincoln Park West Unit 19A Chicago
1633,March-24-2023,2001 S Calumet Ave #207,Chicago,430000.0,2.0,2.0,CHI - Near South Side,1971.0,,239.0,https://www.redfin.com/IL/Chicago/2001-S-Calumet-Ave-60616/unit-207/home/12692980,41.8553731,-87.6186778,"$430,000",1971,$239,blue,480,2001 S Calumet Ave #207 Chicago
1413,March-31-2023,1525 S Michigan Ave #308,Chicago,430000.0,2.0,2.0,CHI - Near South Side,,,344.0,https://www.redfin.com/IL/Chicago/1525-S-Michigan-Ave-60605/unit-308/home/12785238,41.8612609,-87.6234945,"$430,000",nan,$344,blue,481,1525 S Michigan Ave #308 Chicago
517,March-20-2023,1227 N Noble St Unit 3N,Chicago,430000.0,2.0,2.0,CHI - West Town,1998.0,,,https://www.redfin.com/IL/Chicago/1227-N-Noble-St-60642/unit-3N/home/12788808,41.9042709,-87.6623898,"$430,000",1998,$nan,blue,482,1227 N Noble St Unit 3N Chicago
89,March-7-2023,2916 N Damen Ave #2,Chicago,430000.0,2.0,2.0,CHI - North Center,2007.0,,,https://www.redfin.com/IL/Chicago/2916-N-Damen-Ave-60618/unit-2/home/13359484,41.9346362,-87.6784839,"$430,000",2007,$nan,blue,483,2916 N Damen Ave #2 Chicago
538,March-31-2023,2147 N Kenmore Ave Unit 2S,Chicago,430000.0,2.0,1.0,CHI - Lincoln Park,1891.0,,358.0,https://www.redfin.com/IL/Chicago/2147-N-Kenmore-Ave-60614/unit-2S/home/13351965,41.9213668,-87.6544671,"$430,000",1891,$358,blue,484,2147 N Kenmore Ave Unit 2S Chicago
1318,March-21-2023,4024 S King Dr #2,Chicago,429000.0,3.0,2.0,CHI - Grand Boulevard,2022.0,,252.0,https://www.redfin.com/IL/Chicago/4024-S-King-Dr-60653/unit-2/home/179670008,41.8211338,-87.6175709,"$429,000",2022,$252,blue,485,4024 S King Dr #2 Chicago
1600,March-2-2023,8 E Randolph St #1008,Chicago,428000.0,2.0,2.0,Joffrey Tower,2008.0,,307.0,https://www.redfin.com/IL/Chicago/8-E-Randolph-St-60601/unit-1008/home/39566906,41.8846509,-87.6274029,"$428,000",2008,$307,blue,486,8 E Randolph St #1008 Chicago
1249,March-28-2023,2867 W Palmer St #2,Chicago,427000.0,2.0,2.0,CHI - Logan Square,2001.0,,267.0,https://www.redfin.com/IL/Chicago/2867-W-Palmer-St-60647/unit-2/home/12702478,41.9214504,-87.6998254,"$427,000",2001,$267,blue,487,2867 W Palmer St #2 Chicago
775,March-15-2023,1901 S Calumet Ave #1104,Chicago,427000.0,2.0,2.0,Harbor View,2007.0,,356.0,https://www.redfin.com/IL/Chicago/1901-S-Calumet-Ave-60616/unit-1104/home/12970174,41.8562269,-87.6185993,"$427,000",2007,$356,blue,488,1901 S Calumet Ave #1104 Chicago
1229,March-31-2023,2339 N Leavitt St #2,Chicago,426000.0,2.0,2.0,CHI - Logan Square,2010.0,,,https://www.redfin.com/IL/Chicago/2339-N-Leavitt-St-60647/unit-2/home/45510730,41.9238384,-87.6824224,"$426,000",2010,$nan,blue,489,2339 N Leavitt St #2 Chicago
573,March-17-2023,3408 W Parker Ave #1,Chicago,426000.0,3.0,3.0,CHI - Logan Square,1906.0,,275.0,https://www.redfin.com/IL/Chicago/3408-W-Parker-Ave-60647/unit-1/home/18933819,41.9312409,-87.7126377,"$426,000",1906,$275,blue,490,3408 W Parker Ave #1 Chicago
1202,March-24-2023,909 W Cornelia Ave Unit 1N,Chicago,426000.0,3.0,2.0,Cornelia Gardens,1908.0,,,https://www.redfin.com/IL/Chicago/909-W-Cornelia-Ave-60657/unit-1N/home/12652237,41.9451301,-87.6523668,"$426,000",1908,$nan,blue,491,909 W Cornelia Ave Unit 1N Chicago
1386,March-29-2023,1245 N Dearborn St Unit GN,Chicago,425000.0,2.0,2.0,CHI - Near North Side,1900.0,,,https://www.redfin.com/IL/Chicago/1245-N-Dearborn-St-60610/unit-GN/home/14111548,41.9053051,-87.6297035,"$425,000",1900,$nan,blue,492,1245 N Dearborn St Unit GN Chicago
1383,March-27-2023,700 N Larrabee St #1402,Chicago,425000.0,2.0,2.0,CHI - Near North Side,2006.0,,354.0,https://www.redfin.com/IL/Chicago/700-N-Larrabee-St-60654/unit-1402/home/23088058,41.8947154,-87.6433384,"$425,000",2006,$354,blue,493,700 N Larrabee St #1402 Chicago
1352,March-20-2023,854 N California Ave Unit 3N,Chicago,425000.0,3.0,2.0,CHI - West Town,2008.0,,236.0,https://www.redfin.com/IL/Chicago/854-N-California-Ave-60622/unit-3N/home/21799758,41.8973109,-87.6970641,"$425,000",2008,$236,blue,494,854 N California Ave Unit 3N Chicago
909,March-15-2023,3053 N Clybourn Ave #2,Chicago,425000.0,2.0,2.0,CHI - North Center,2005.0,,340.0,https://www.redfin.com/IL/Chicago/3053-N-Clybourn-Ave-60618/unit-2/home/12617665,41.9372055,-87.6845327,"$425,000",2005,$340,blue,495,3053 N Clybourn Ave #2 Chicago
1547,March-30-2023,1903 W Diversey Pkwy #302,Chicago,425000.0,3.0,2.0,CHI - Lincoln Park,2004.0,,251.0,https://www.redfin.com/IL/Chicago/1903-W-Diversey-Pkwy-60614/unit-302/home/18915373,41.9321658,-87.6755653,"$425,000",2004,$251,blue,496,1903 W Diversey Pkwy #302 Chicago
1597,March-17-2023,195 N Harbor Dr #5305,Chicago,425000.0,2.0,2.0,CHI - Loop,1996.0,,354.0,https://www.redfin.com/IL/Chicago/195-N-Harbor-Dr-60601/unit-5305/home/12553955,41.8856515,-87.6149036,"$425,000",1996,$354,blue,497,195 N Harbor Dr #5305 Chicago
1327,March-15-2023,505 N Lake Shore Dr #2303,Chicago,422300.0,1.0,1.0,Lake Point Tower,1968.0,,384.0,https://www.redfin.com/IL/Chicago/505-N-Lake-Shore-Dr-60611/unit-2303/home/14095454,41.8915839,-87.6126983,"$422,300",1968,$384,blue,498,505 N Lake Shore Dr #2303 Chicago
452,March-20-2023,303 W Ohio St #3505,Chicago,422000.0,2.0,2.0,CHI - Near North Side,2009.0,,444.0,https://www.redfin.com/IL/Chicago/303-W-Ohio-St-60654/unit-3505/home/40378815,41.8922533,-87.6359211,"$422,000",2009,$444,blue,499,303 W Ohio St #3505 Chicago
1246,March-8-2023,247 W Scott St #408,Chicago,421000.0,2.0,2.0,CHI - Near North Side,2002.0,,337.0,https://www.redfin.com/IL/Chicago/247-W-Scott-St-60610/unit-408/home/12726384,41.9045926,-87.6364907,"$421,000",2002,$337,blue,500,247 W Scott St #408 Chicago
907,March-13-2023,837 W Dakin St #3,Chicago,420000.0,2.0,2.0,CHI - Lake View,,,,https://www.redfin.com/IL/Chicago/837-W-Dakin-St-60613/unit-3/home/13383611,41.9534214,-87.6513809,"$420,000",nan,$nan,blue,501,837 W Dakin St #3 Chicago
1649,March-21-2023,6007 N Sheridan Rd Unit 13J,Chicago,420000.0,3.0,2.0,CHI - Edgewater,1969.0,,255.0,https://www.redfin.com/IL/Chicago/6007-N-Sheridan-Rd-60660/unit-13J/home/13411487,41.9913121,-87.6547605,"$420,000",1969,$255,blue,502,6007 N Sheridan Rd Unit 13J Chicago
523,March-2-2023,130 S Canal St #303,Chicago,420000.0,2.0,2.0,Metropolitan Place,1949.0,,280.0,https://www.redfin.com/IL/Chicago/130-S-Canal-St-60606/unit-303/home/12764059,41.8796753,-87.6399445,"$420,000",1949,$280,blue,503,130 S Canal St #303 Chicago
