Rank,Agent/Team,Brokerage Firm,# of Deals,$ Volume,Website
21,HSIN YUAN YANG,E REALTY INTERNATIONAL,172,"$113,323,019 ",https://erealtyny.com/meetouragents
22,LUXURY ALLIANCE TEAM,SERHANT,74,"$112,482,494 ",https://serhant.com/teams/luxury-alliance-team
23,BIANCA D'ALESSIO,NEST SEEKERS INTERNATIONAL,55,"$112,258,777 ",https://www.nestseekers.com/agent/bianca-dalessio/
24,BARBARA RUSSO,DOUGLAS ELLIMAN,22,"$110,778,125 ",https://www.elliman.com/agent/barbara-russo/1024943
25,LEONARD STEINBERG TEAM,COMPASS,12,"$106,336,056 ",https://theleonardsteinbergteam.com/
26,JADE CHAN,DOUGLAS ELLIMAN,24,"$100,964,329 ",https://www.elliman.com/agent/jade-chan/1027090
27,JESSICA PETERS TEAM,DOUGLAS ELLIMAN,41,"$99,523,653 ",https://thejessicapetersteam.com/
28,MICHAEL LORBER TEAM,DOUGLAS ELLIMAN,24,"$99,056,387 ",https://www.elliman.com/team/the-michael-lorber-team/226181
29,DANIELLE ENGLEBARDT,DOUGLAS ELLIMAN,19,"$97,786,666 ",https://www.elliman.com/agent/danielle-englebardt/1025784
30,KAYLA LEE TEAM,SERHANT,62,"$93,447,123 ",https://serhant.com/teams/kayla-lee-team
31,JENNIFER LEE TEAM,SERHANT,54,"$90,255,994 ",https://serhant.com/teams/jennifer-lee-team
32,JAMIE HANNON,SERHANT,10,"$89,580,855 ",https://serhant.com/agents/jamie-hannon
33,MICHELLE GRIFFITH BRODSKY,DOUGLAS ELLIMAN,13,"$87,236,194 ",https://www.elliman.com/agent/michelle-griffith/1029349
34,LI PAN,E REALTY INTERNATIONAL,125,"$84,713,050 ",https://erealtyny.com/agent/sunnypan
35,MADELINE HULT ELGHANAYAN,DOUGLAS ELLIMAN,4,"$83,764,188 ",https://www.elliman.com/agent/madeline-hult-elghanayan/1029209
36,LYDIA SUSSEK TEAM,DOUGLAS ELLIMAN,26,"$79,566,972 ",https://www.elliman.com/team/the-lydia-sussek-team/226420
37,DEBORAH RIEDERS TEAM,CORCORAN GROUP,55,"$78,499,663 ",https://www.corcoran.com/real-estate-agents/detail/team/deborah-l-rieders-team/630
38,JUSTIN TUINSTRA TEAM,DOUGLAS ELLIMAN,13,"$78,450,000 ",https://jtsellsnyc.com/
39,MAYA KADOURI,DOUGLAS ELLIMAN,18,"$74,761,387 ",https://www.elliman.com/agent/maya-kadouri/1029094
40,GAUTHIER RIVERA TEAM,DOUGLAS ELLIMAN,13,"$68,809,012 ",https://www.elliman.com/team/the-gauthier-rivera-team/226618
41,PAMELA DARC,COMPASS,21,"$67,699,819 ",https://www.compass.com/agents/pamela-darc/
42,CHESTLER JACOBS TEAM,DOUGLAS ELLIMAN,12,"$65,368,730 ",https://www.elliman.com/team/chestler-jacobs-team/226330
43,PETER EVANGELIDIS,DOUGLAS ELLIMAN,28,"$65,292,775 ",https://www.elliman.com/agent/peter-evangelidis/1029949
44,TAYLOR MIDDLETON SCAVO,DOUGLAS ELLIMAN,28,"$65,292,775 ",https://www.elliman.com/agent/taylor-middleton/1031128
45,DANIEL KRAMP TEAM,CHRISTIES INTERNATIONAL REAL ESTATE,21,"$61,443,257 ",https://www.christiesrealestategroup.com/realestate/team/daniel-kramp-team/
46,BETHONEY SHEN TEAM,NEST SEEKERS INTERNATIONAL,71,"$60,975,891 ",https://www.nestseekers.com/group/bethoney-shen/
47,KATZEN TEAM,DOUGLAS ELLIMAN,13,"$55,208,000 ",https://www.elliman.com/team/the-katzen-team/226107
48,BARTOLUCCI TEAM,DOUGLAS ELLIMAN,27,"$54,489,598 ",https://www.elliman.com/team/the-bartolucci-team/226533
49,DANIELOV TEAM,CORCORAN GROUP,64,"$50,718,223 ",https://www.corcoran.com/real-estate-agents/detail/team/the-danielov-team/582
50,LANCELOT WATSON-TAFFE,SERHANT,24,"$49,732,335 ",https://serhant.com/agents/lancelot-watson-taffe
