,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
62376,-80.19250549,25.78773587,62227,0.0,BD19024394,2020/11/24 06:09:00+00,,Final,All Inspections are finalized.,CC,2021/01/13 10:41:00,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,1334 NE 1 AV,,131360090050,YES,False,2020/03/18 11:44:00+00,25.78773587,-80.19250549,T6-24B-O,,BD19024394001B001,2019-12-10 18:16:00+00:00,2019/11/26 15:16:00+00,BD19024394001,Commercial,252000.0,2880.0,CC,REMODELING/REPAIRS,2021/01/25 17:08:00+00,252000.0,98 Day(s) 17 Hour(s) 28 Minute(s) ,98.0,2880.0,RECREATIONAL FACILITY|JUICE BAR / COFFEE SHOP/BAKERY/DELI/ICE CREAM SHOP/CIGAR BAR,62377
69565,-80.18694229,25.7934786,69453,0.0,BD20006353,2021/09/22 15:06:00+00,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,488 NE 18 ST 2715,,132310766190,YES,False,2020/05/13 09:28:00+00,25.7934786,-80.18694229,T6-36B-L,0.0,BD20006353001B001,2020-03-27 11:29:00+00:00,2020/03/26 09:17:00+00,BD20006353001,Residential,14000.0,0.0,  ,REMODELING/REPAIRS,2021/09/22 15:06:00+00,14000.0,46 Day(s) 21 Hour(s) 59 Minute(s) ,46.0,0.0,WOOD/LAMINATE/TILE/VINYL,69566
74133,-80.19418098,25.77317172,74504,0.0,BD20012786,,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,30 SW 1 ST,,101120401050,YES,False,2023/01/04 09:49:00+00,25.77317172,-80.19418098,T6-80-O,,BD20012786034B001,2022-08-30 10:02:00+00:00,2022/08/26 14:52:00+00,BD20012786034,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/04/06 09:55:00+00,100.0,126 Day(s) 23 Hour(s) 47 Minute(s) ,126.0,0.0,LOUVRES,74134
74786,-80.19418098,25.77317172,74468,519876.0,BD20012786,2023/04/10 09:38:00+00,,Final,All Inspections are finalized.,CO,2023/04/10 09:38:00,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,30 SW 1 ST,,101120401050,YES,False,2021/12/14 13:31:00+00,25.77317172,-80.19418098,T6-80-O,90980350.0,BD20012786001B001,2020-08-28 11:28:00+00:00,2020/06/30 10:46:00+00,BD20012786001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2023/04/10 09:38:00+00,90980350.0,473 Day(s) 2 Hour(s) 3 Minute(s) ,473.0,519876.0,PROFESSIONAL OFFICE / BANK / FINANCIAL INSTITUTION|MULTI-FAMILY (RENTAL)|GENERAL COMMERCIAL,74787
74797,-80.19418098,25.77317172,74470,519876.0,BD20012786,,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,30 SW 1 ST,,101120401050,YES,False,2022/01/03 15:37:00+00,25.77317172,-80.19418098,T6-80-O,,BD20012786001L001,2020-08-28 11:28:00+00:00,2020/06/30 10:46:00+00,BD20012786001,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/01/24 14:23:00+00,,493 Day(s) 4 Hour(s) 9 Minute(s) ,493.0,519876.0,TREE PLANTING (ROW),74798
74815,-80.19418098,25.77317172,74473,519876.0,BD20012786,,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,30 SW 1 ST,,101120401050,YES,False,2022/01/03 15:37:00+00,25.77317172,-80.19418098,T6-80-O,,BD20012786001PW001,2020-08-28 11:28:00+00:00,2020/06/30 10:46:00+00,BD20012786001,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/02/07 07:25:00+00,,493 Day(s) 4 Hour(s) 9 Minute(s) ,493.0,519876.0,BUILDING LINE AND GRADE SURVEY|PAVING OR RESURFACING,74816
74822,-80.19418098,25.77317172,74474,0.0,BD20012786,2022/12/08 18:43:00+00,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,30 SW 1 ST,,101120401050,YES,False,2022/03/16 10:28:00+00,25.77317172,-80.19418098,T6-80-O,,BD20012786002B001,2021-12-21 10:00:00+00:00,2021/12/17 15:52:00+00,BD20012786002,Commercial,,0.0,CO,NEW CONSTRUCTION,2022/12/08 18:43:00+00,1.0,85 Day(s) 0 Hour(s) 28 Minute(s) ,85.0,0.0,SHORING / RE-SHORING,74823
74853,-80.19418098,25.77317172,74479,0.0,BD20012786,2023/03/24 15:51:00+00,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,30 SW 1 ST,,101120401050,YES,False,2022/09/01 09:45:00+00,25.77317172,-80.19418098,T6-80-O,287385.0,BD20012786009B001,2022-01-07 00:23:00+00:00,2022/01/05 16:30:00+00,BD20012786009,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2023/03/24 15:51:00+00,287385.0,237 Day(s) 9 Hour(s) 22 Minute(s) ,237.0,0.0,RAILINGS - METAL,74854
82846,-80.1933379689025,25.7895649026718,82382,0.0,BD20023421,2022/06/28 11:50:00+00,,Final,All Inspections are finalized.,CO,2022/07/05 09:23:00,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,47 NE 15 ST,,131360990010,YES,False,2021/04/14 11:23:00+00,25.7895649026718,-80.1933379689025,T6-24B-O|T6-24A-O,,BD20023421001B001,2020-12-02 11:55:00+00:00,2020/11/13 10:46:00+00,BD20023421001,Commercial,145688.0,1665.0,CO,REMODELING/REPAIRS,2022/07/01 16:06:00+00,145688.0,132 Day(s) 23 Hour(s) 28 Minute(s) ,132.0,1665.0,RESTAURANT (LESS THAN 50 OCCUPANTS),82847
83204,-80.19099907,25.79819585,83264,715583.0,BD20024466,,,Active,Permit is Active. Ready for Inspections.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,2200 NE 2 AV,,131250150010,NO,False,2022/05/23 11:16:00+00,25.79819585,-80.19099907,T6-12-O,123925830.0,BD20024466001B001,2020-12-17 11:27:00+00:00,2020/11/30 10:24:00+00,BD20024466001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2022/05/23 11:16:00+00,123925830.0,521 Day(s) 23 Hour(s) 49 Minute(s) ,521.0,715583.0,PROFESSIONAL OFFICE / BANK / FINANCIAL INSTITUTION|MULTI-FAMILY (RENTAL)|GENERAL COMMERCIAL,83205
