,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
4374,-80.18572668,25.79914796,4526,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 15 Hour(s) 21 Minute(s) ,0.0,788 NE 23 ST,2020/06/25 16:43:00+00,132300280050,YES,True,2020/06/26 15:51:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745049E001,2020-06-25 16:43:00+00:00,2020/06/25 14:13:00+00,BD15008745049,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/07/17 11:14:00+00,500.0,0 Day(s) 23 Hour(s) 8 Minute(s) ,0.0,0.0,TEMPORARY FOR TESTING,4375
4375,-80.18572668,25.79914796,4527,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,11 Day(s) 19 Hour(s) 39 Minute(s) ,11.0,788 NE 23 ST,2020/06/25 15:46:00+00,132300280050,YES,True,2020/07/07 12:55:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745050E001,2020-06-25 15:46:00+00:00,2020/06/25 14:27:00+00,BD15008745050,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/08/05 08:46:00+00,500.0,11 Day(s) 21 Hour(s) 9 Minute(s) ,11.0,0.0,TEMPORARY FOR TESTING,4376
4376,-80.18572668,25.79914796,4528,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 0 Hour(s) 6 Minute(s) ,0.0,788 NE 23 ST,2020/06/25 15:43:00+00,132300280050,YES,True,2020/06/26 15:51:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745051E001,2020-06-25 15:43:00+00:00,2020/06/25 14:41:00+00,BD15008745051,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/08/05 08:54:00+00,500.0,1 Day(s) 0 Hour(s) 8 Minute(s) ,1.0,0.0,TEMPORARY FOR TESTING,4377
4377,-80.18572668,25.79914796,4529,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 0 Hour(s) 9 Minute(s) ,0.0,788 NE 23 ST,2020/06/25 15:37:00+00,132300280050,YES,True,2020/06/26 15:51:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745052E001,2020-06-25 15:37:00+00:00,2020/06/25 15:10:00+00,BD15008745052,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/08/05 09:03:00+00,500.0,1 Day(s) 0 Hour(s) 14 Minute(s) ,1.0,0.0,TEMPORARY FOR TESTING,4378
4378,-80.18572668,25.79914796,4530,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 0 Hour(s) 7 Minute(s) ,0.0,788 NE 23 ST,2020/06/26 14:35:00+00,132300280050,YES,True,2020/06/26 15:51:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745053E001,2020-06-26 09:09:00+00:00,2020/06/26 08:18:00+00,BD15008745053,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/08/05 09:10:00+00,500.0,0 Day(s) 6 Hour(s) 42 Minute(s) ,0.0,0.0,TEMPORARY FOR TESTING,4379
4379,-80.18572668,25.79914796,4531,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 21 Hour(s) 22 Minute(s) ,0.0,788 NE 23 ST,2020/06/28 09:07:00+00,132300280050,YES,True,2020/06/29 08:34:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745054E001,2020-06-26 09:18:00+00:00,2020/06/26 08:24:00+00,BD15008745054,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/10/23 12:04:00+00,500.0,2 Day(s) 23 Hour(s) 16 Minute(s) ,2.0,0.0,TEMPORARY FOR TESTING,4380
4381,-80.18572668,25.79914796,4533,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,57 Day(s) 20 Hour(s) 28 Minute(s) ,57.0,788 NE 23 ST,2020/06/29 12:43:00+00,132300280050,YES,True,2020/08/28 09:25:00+00,25.79914796,-80.18572668,T6-36A-L,0.0,BD15008745056E001,2020-06-29 12:36:00+00:00,2020/06/29 11:46:00+00,BD15008745056,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2020/10/14 08:14:00+00,800.0,59 Day(s) 20 Hour(s) 49 Minute(s) ,59.0,0.0,LOW VOLTAGE ENERGY MANAGEMENT SYSTEM|ROUGH WIRING OUTLETS,4382
4385,-80.18572668,25.79914796,4537,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,68 Day(s) 16 Hour(s) 28 Minute(s) ,68.0,788 NE 23 ST,2020/07/15 16:02:00+00,132300280050,YES,True,2020/09/24 08:29:00+00,25.79914796,-80.18572668,T6-36A-L,0.0,BD15008745059E001,2020-07-15 16:01:00+00:00,2020/07/10 11:18:00+00,BD15008745059,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2020/10/14 08:15:00+00,500.0,70 Day(s) 16 Hour(s) 28 Minute(s) ,70.0,0.0,LOW VOLTAGE ENERGY MANAGEMENT SYSTEM|ROUGH WIRING OUTLETS,4386
4386,-80.18572668,25.79914796,4538,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,68 Day(s) 16 Hour(s) 28 Minute(s) ,68.0,788 NE 23 ST,2020/07/15 16:02:00+00,132300280050,YES,True,2020/09/22 13:03:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745059MA001,2020-07-15 16:01:00+00:00,2020/07/10 11:18:00+00,BD15008745059,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/10/23 07:21:00+00,7000.0,68 Day(s) 21 Hour(s) 2 Minute(s) ,68.0,0.0,GAS / DIESEL TANK INSTALLATION  ,4387
4388,-80.18572668,25.79914796,4540,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,37 Day(s) 18 Hour(s) 27 Minute(s) ,37.0,788 NE 23 ST,2020/08/06 15:47:00+00,132300280050,YES,True,2020/09/15 14:46:00+00,25.79914796,-80.18572668,T6-36A-L,0.0,BD15008745063E001,2020-08-06 15:47:00+00:00,2020/07/24 12:13:00+00,BD15008745063,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2020/11/10 13:38:00+00,89000.0,39 Day(s) 22 Hour(s) 59 Minute(s) ,39.0,0.0,ELECTRICAL BDA / COMMUNICATIONS (ONLY SUB OF FIRE MASTER),4389
