,MICRO_bucket,PHY_CITY,avg_price,median_price,n,SALE_MO1_NAME
484,Condominiums,North Miami Beach,420485.71,325000.0,7,March
485,Condominiums,Oakland Park,190875.0,179500.0,12,March
488,Condominiums,Palm Beach,3077978.6,2150000.0,30,March
489,Condominiums,Palm Beach Gardens,583650.0,311500.0,20,March
493,Condominiums,Pembroke Pines,212009.8,199000.0,51,March
494,Condominiums,Plantation,260516.13,249000.0,31,March
495,Condominiums,Pompano Beach,318045.63,275000.0,103,March
498,Condominiums,Riviera Beach,918035.71,660000.0,14,March
499,Condominiums,Royal Palm Beach,205312.5,200000.0,8,March
500,Condominiums,South Palm Beach,411277.78,350000.0,9,March
501,Condominiums,Sunrise,198466.67,166500.0,42,March
502,Condominiums,South Miami,354000.0,375000.0,5,March
503,Condominiums,Sunny Isles Beach,1768131.25,1057500.0,64,March
504,Condominiums,Surfside,4102330.0,694550.0,10,March
506,Condominiums,Tamarac,207618.42,176000.0,38,March
507,Condominiums,Tequesta,528240.43,430000.0,7,March
508,Condominiums,Unincorporated County,403968.16,336500.0,312,March
509,Condominiums,Wellington,428571.43,380000.0,7,March
510,Condominiums,West Palm Beach,687095.62,242000.0,137,March
511,Condominiums,Weston,411666.67,358500.0,6,March
512,Condominiums,Wilton Manors,319444.44,305000.0,9,March
515,Condominiums,Aventura,666644.44,408000.0,72,April
516,Condominiums,Boca Raton,619285.19,337000.0,179,April
517,Condominiums,Boynton Beach,296611.62,259000.0,79,April
518,Condominiums,Bal Harbour,3206144.44,1490300.0,9,April
519,Condominiums,Bay Harbor Islands,683550.0,500000.0,6,April
520,Condominiums,Coconut Creek,188885.71,195250.0,28,April
521,Condominiums,Coral Springs,227753.85,214500.0,26,April
522,Condominiums,Coral Gables,929916.67,570000.0,30,April
523,Condominiums,Cutler Bay,317833.33,300000.0,15,April
524,Condominiums,Dania Beach,193027.78,179750.0,18,April
525,Condominiums,Davie,251953.33,247500.0,30,April
526,Condominiums,Deerfield Beach,306473.13,225000.0,67,April
527,Condominiums,Delray Beach,315338.11,225000.0,131,April
528,Condominiums,Doral,477269.09,458000.0,55,April
529,Condominiums,Fort Lauderdale,748581.4,446000.0,129,April
531,Condominiums,Greenacres,199729.17,172400.0,24,April
533,Condominiums,Hallandale Beach,421144.83,373750.0,58,April
534,Condominiums,Highland Beach,1508050.0,970000.0,10,April
535,Condominiums,Hillsboro Beach,427733.33,475000.0,9,April
536,Condominiums,Hollywood,355766.67,275000.0,69,April
537,Condominiums,Hypoluxo,257100.0,234000.0,5,April
538,Condominiums,Hialeah,298630.77,255500.0,52,April
540,Condominiums,Homestead,350608.12,352000.0,41,April
541,Condominiums,Juno Beach,768535.71,600000.0,14,April
542,Condominiums,Jupiter,870848.89,555000.0,45,April
543,Condominiums,Key Biscayne,2028735.29,1000000.0,17,April
544,Condominiums,Lake Park,263650.0,218000.0,5,April
545,Condominiums,Lake Worth,179565.88,150000.0,34,April
546,Condominiums,Lantana,281294.83,268500.0,6,April
547,Condominiums,Lauderdale By The Sea,636181.82,520000.0,11,April
548,Condominiums,Lauderdale Lakes,117730.77,110000.0,13,April
549,Condominiums,Lauderhill,1274157.38,1650000.0,61,April
550,Condominiums,Lighthouse Point,330900.0,287000.0,5,April
551,Condominiums,Margate,245250.0,167500.0,24,April
552,Condominiums,Miramar,343600.0,320000.0,15,April
553,Condominiums,Miami,919819.92,631800.0,266,April
554,Condominiums,Miami Beach,1013785.63,530000.0,174,April
555,Condominiums,Miami Gardens,226531.58,196600.0,19,April
556,Condominiums,Miami Lakes,377977.78,430000.0,9,April
558,Condominiums,North Lauderdale,204571.43,220000.0,7,April
559,Condominiums,North Palm Beach,622076.0,365000.0,25,April
560,Condominiums,North Bay Village,423935.71,374500.0,14,April
561,Condominiums,North Miami,252950.0,206000.0,20,April
562,Condominiums,North Miami Beach,662545.45,470000.0,11,April
563,Condominiums,Oakland Park,172434.78,170000.0,23,April
565,Condominiums,Palm Beach,2635705.68,1687500.0,28,April
566,Condominiums,Palm Beach Gardens,572250.0,425000.0,21,April
569,Condominiums,Pembroke Pines,213080.0,210000.0,55,April
570,Condominiums,Plantation,242748.57,207000.0,35,April
571,Condominiums,Pompano Beach,394287.36,284000.0,87,April
574,Condominiums,Riviera Beach,1239116.38,730000.0,21,April
576,Condominiums,South Palm Beach,676138.89,400000.0,9,April
577,Condominiums,Sunrise,198053.57,162500.0,28,April
579,Condominiums,Sunny Isles Beach,1874382.14,617500.0,56,April
580,Condominiums,Surfside,1003750.0,700000.0,8,April
582,Condominiums,Tamarac,208788.1,181250.0,42,April
583,Condominiums,Tequesta,557000.0,300000.0,5,April
584,Condominiums,Unincorporated County,474783.81,315000.0,271,April
585,Condominiums,Wellington,824200.0,575250.0,10,April
586,Condominiums,West Palm Beach,616565.26,307500.0,170,April
587,Condominiums,Weston,382220.0,325000.0,20,April
588,Condominiums,Wilton Manors,426916.67,414000.0,12,April
591,Condominiums,Aventura,570585.11,550000.0,47,May
592,Condominiums,Boca Raton,502005.59,320000.0,110,May
593,Condominiums,Boynton Beach,278968.75,255000.0,64,May
594,Condominiums,Bal Harbour,2273485.71,1600000.0,7,May
595,Condominiums,Bay Harbor Islands,811750.0,900000.0,8,May
596,Condominiums,Coconut Creek,212948.57,205000.0,35,May
597,Condominiums,Coral Springs,226033.33,229000.0,27,May
598,Condominiums,Coral Gables,905566.67,615000.0,18,May
599,Condominiums,Cutler Bay,372542.86,375000.0,7,May
600,Condominiums,Dania Beach,275228.57,255000.0,7,May
601,Condominiums,Davie,252604.35,255000.0,23,May
602,Condominiums,Deerfield Beach,235009.3,175000.0,43,May
603,Condominiums,Delray Beach,316180.33,237500.0,60,May
604,Condominiums,Doral,494218.92,465000.0,37,May
605,Condominiums,Fort Lauderdale,708376.6,452500.0,94,May
607,Condominiums,Greenacres,172140.74,157000.0,27,May
608,Condominiums,Hallandale Beach,466189.74,235000.0,39,May
609,Condominiums,Highland Beach,1121071.43,1070000.0,14,May
610,Condominiums,Hillsboro Beach,749142.86,710000.0,7,May
611,Condominiums,Hollywood,353958.46,290000.0,65,May
613,Condominiums,Hialeah,318424.44,300000.0,45,May
615,Condominiums,Homestead,345809.52,350000.0,21,May
616,Condominiums,Juno Beach,727916.67,598750.0,6,May
617,Condominiums,Jupiter,892762.96,500000.0,27,May
618,Condominiums,Key Biscayne,1501222.22,1310000.0,18,May
620,Condominiums,Lake Worth,167023.81,150000.0,21,May
622,Condominiums,Lauderdale By The Sea,598535.71,592500.0,14,May
623,Condominiums,Lauderdale Lakes,136544.44,120000.0,9,May
624,Condominiums,Lauderhill,169173.91,160000.0,23,May
625,Condominiums,Lighthouse Point,286216.67,307500.0,6,May
626,Condominiums,Margate,193470.0,195000.0,20,May
627,Condominiums,Miramar,330150.0,346500.0,18,May
628,Condominiums,Miami,819799.02,516600.0,205,May
629,Condominiums,Miami Beach,1696592.31,539900.0,169,May
630,Condominiums,Miami Gardens,269666.67,280000.0,9,May
631,Condominiums,Miami Lakes,445000.0,530000.0,7,May
633,Condominiums,North Lauderdale,7998925.71,9300000.0,35,May
634,Condominiums,North Palm Beach,1254333.33,1375000.0,9,May
635,Condominiums,North Bay Village,515575.0,317000.0,8,May
636,Condominiums,North Miami,321136.36,250000.0,11,May
637,Condominiums,North Miami Beach,922933.33,707500.0,9,May
638,Condominiums,Oakland Park,188572.22,187900.0,18,May
641,Condominiums,Palm Beach,2843805.26,2000000.0,19,May
642,Condominiums,Palm Beach Gardens,780183.33,373000.0,15,May
646,Condominiums,Pembroke Pines,212670.73,200000.0,41,May
647,Condominiums,Plantation,233634.62,199000.0,26,May
648,Condominiums,Pompano Beach,346990.79,289500.0,76,May
651,Condominiums,Riviera Beach,1051466.67,670000.0,15,May
654,Condominiums,Sunrise,235434.62,187500.0,26,May
656,Condominiums,Sunny Isles Beach,1877436.36,775000.0,44,May
657,Condominiums,Surfside,3587272.73,625000.0,11,May
658,Condominiums,Tamarac,174875.0,164500.0,36,May
659,Condominiums,Tequesta,798450.0,452000.0,10,May
660,Condominiums,Unincorporated County,448208.33,359500.0,228,May
661,Condominiums,Wellington,485833.33,492500.0,6,May
662,Condominiums,West Palm Beach,479631.18,272000.0,101,May
663,Condominiums,Weston,366875.0,310000.0,8,May
664,Condominiums,Wilton Manors,306512.5,242500.0,8,May
670,Condominiums,Coconut Creek,183766.67,162000.0,9,June
671,Condominiums,Coral Springs,229888.89,195000.0,9,June
674,Condominiums,Davie,179400.0,200000.0,7,June
675,Condominiums,Deerfield Beach,184300.0,159000.0,10,June
677,Condominiums,Fort Lauderdale,654403.45,469000.0,29,June
679,Condominiums,Hallandale Beach,311250.0,266000.0,12,June
681,Condominiums,Hollywood,332882.35,305000.0,17,June
687,Condominiums,Margate,165950.0,156000.0,10,June
688,Condominiums,Miramar,303900.0,279000.0,5,June
689,Condominiums,Miami,995857.14,437000.0,14,June
694,Condominiums,Oakland Park,247187.5,232500.0,8,June
696,Condominiums,Pembroke Pines,193818.18,180000.0,11,June
697,Condominiums,Plantation,274625.0,273500.0,8,June
698,Condominiums,Pompano Beach,537577.27,367500.0,22,June
700,Condominiums,Sunrise,125500.0,118000.0,5,June
702,Condominiums,Tamarac,167250.0,150000.0,8,June
703,Condominiums,Unincorporated County,268842.86,250000.0,7,June
709,Cooperatives,Fort Lauderdale,406750.0,336500.0,8,January
721,Cooperatives,Boynton Beach,131166.67,132500.0,6,February
723,Cooperatives,Fort Lauderdale,321833.33,271350.0,12,February
724,Cooperatives,Hallandale Beach,186777.78,177000.0,9,February
733,Cooperatives,Pembroke Park,227333.33,180000.0,6,February
734,Cooperatives,Pompano Beach,239666.67,261500.0,6,February
739,Cooperatives,Boynton Beach,169436.44,157500.0,9,March
744,Cooperatives,Fort Lauderdale,353390.0,329500.0,20,March
745,Cooperatives,Hallandale Beach,167691.67,151750.0,12,March
749,Cooperatives,Lauderdale By The Sea,363500.0,294500.0,8,March
752,Cooperatives,Palm Beach,2052500.0,1700000.0,6,March
753,Cooperatives,Pembroke Park,296050.0,300000.0,10,March
754,Cooperatives,Pompano Beach,223642.86,217000.0,7,March
758,Cooperatives,Boynton Beach,159187.5,155000.0,8,April
762,Cooperatives,Fort Lauderdale,315176.92,299000.0,13,April
763,Cooperatives,Hallandale Beach,213136.36,180000.0,11,April
771,Cooperatives,Palm Beach,1793857.14,750000.0,7,April
773,Cooperatives,Pembroke Park,194875.0,145000.0,8,April
774,Cooperatives,Pompano Beach,277850.0,227500.0,10,April
780,Cooperatives,Fort Lauderdale,355362.5,345000.0,8,May
789,Cooperatives,Pembroke Park,199400.0,174000.0,5,May
807,Mobile Homes,Davie,203350.0,179000.0,10,February
808,Mobile Homes,Deerfield Beach,155980.0,135000.0,5,February
812,Mobile Homes,Dania Beach,282857.14,297000.0,7,March
813,Mobile Homes,Davie,224191.67,192450.0,12,March
817,Mobile Homes,Jupiter,365500.0,365000.0,5,March
824,Mobile Homes,Dania Beach,298800.0,299000.0,5,April
826,Mobile Homes,Deerfield Beach,200833.33,207500.0,6,April
836,Mobile Homes,Dania Beach,252777.78,250000.0,9,May
837,Mobile Homes,Davie,169980.0,155900.0,5,May
842,Other,Boca Raton,3618000.0,2300000.0,5,January
844,Other,Coral Springs,3377916.67,1443750.0,6,January
848,Other,Delray Beach,5090000.0,4150000.0,5,January
849,Other,Doral,5131280.0,4700000.0,5,January
850,Other,Fort Lauderdale,3007122.22,1900000.0,9,January
852,Other,Hollywood,1557133.33,1630000.0,6,January
853,Other,Hialeah,3504309.57,3500000.0,7,January
857,Other,Lake Worth,1137500.0,1137500.0,8,January
863,Other,Miami,9760000.0,4000000.0,15,January
873,Other,Pompano Beach,918125.0,612500.0,8,January
877,Other,Sunrise,1876000.0,1120000.0,5,January
880,Other,Unincorporated County,3655289.47,1225000.0,38,January
881,Other,Wellington,22610000.0,3650000.0,5,January
885,Other,,75667814.29,68400000.0,7,January
893,Other,Davie,5366783.33,5720050.0,6,February
905,Other,Lake Worth,34946125.0,35775000.0,10,February
908,Other,Miami,4482890.91,2150000.0,22,February
913,Other,Opa-Locka,5647400.0,8533000.0,5,February
918,Other,Pompano Beach,1455225.0,1050000.0,8,February
921,Other,Sunrise,2138357.14,1400000.0,7,February
922,Other,Unincorporated County,1664745.1,540000.0,51,February
923,Other,Wellington,4605000.0,5600000.0,5,February
924,Other,West Palm Beach,1366750.82,750000.0,11,February
934,Other,Davie,22525000.0,34275000.0,5,March
937,Other,Doral,5675271.43,4000000.0,7,March
938,Other,Fort Lauderdale,9509285.71,580000.0,7,March
944,Other,Hialeah,9237682.35,2900000.0,17,March
946,Other,Jupiter,1955000.0,890000.0,5,March
955,Other,Miami,4255817.86,2550000.0,28,March
970,Other,Unincorporated County,2071860.0,700000.0,75,March
972,Other,West Palm Beach,12002266.71,3945867.0,14,March
979,Other,Coral Springs,5154200.0,1218000.0,5,April
983,Other,Doral,1155000.0,1200000.0,5,April
987,Other,Hialeah,3263888.89,4085000.0,9,April
989,Other,Homestead,1058460.0,750000.0,5,April
990,Other,Jupiter,1337600.0,1200000.0,5,April
993,Other,Lake Worth,1747833.33,1300000.0,6,April
998,Other,Miami,3199888.89,2200000.0,9,April
1003,Other,Opa-Locka,3128571.43,4000000.0,7,April
1005,Other,Plantation,3481412.5,3850000.0,8,April
1006,Other,Pompano Beach,3894646.15,3990000.0,13,April
1012,Other,Unincorporated County,1544075.86,581300.0,58,April
1014,Other,West Palm Beach,3582732.35,620000.0,17,April
1016,Other,,5618000.0,2430000.0,5,April
