Status,Address,City Name,List Price Chg Date,Original List Price,List Price,% Change from Original To List Price,Sale Price,SP$/SqFt,% Change from Original to Sold Price,LP$/SqFt,SP$/LP$,CDOM (Days on Market),#Beds,#FBaths,#HBaths,SqFt Liv Area,Lot SqFt,#Garage Spaces,Pool YN,Year Built,Closing Date,List Price Chg Date,Days to Closing from Price Change
Active,2901 Flamingo Dr,Miami Beach,01/09/2023,"$16,895,000.00","$15,500,000.00",(8%),,,,"$2,363.17",,202,6,6,2,"6,559","XXX19,847.00",2,Yes,2015,,01/09/2023,
Active,269 N Hibiscus Dr,Miami Beach,12/15/2022,"$16,000,000.00","$14,900,000.00",(7%),,,,"$1,880.36",,423,6,7,1,"7,924","XXX12,250.00",3,Yes,2007,,12/15/2022,
Closed,6330 Allison Rd,Miami Beach,08/03/2022,"$16,300,000.00","$15,300,000.00",(6%),"$13,300,000.00","$2,407.68",(18%),"$2,769.73",0.87,185,6,6,1,"5,524","XXX16,200.00",2,Yes,1952,12/15/2022,08/03/2022,134
Active,1230 S Venetian Way,Miami,03/14/2023,"$26,500,000.00","$24,990,000.00",(6%),,,,,,514,0,0,,0,"27,000",0,No,2022,,03/14/2023,
Active,206 W San Marino Dr,Miami Beach,10/12/2022,"$14,750,000.00","$13,950,000.00",(5%),,,,"$3,266.21",,325,5,4,1,"4,271","XXX10,500.00",1,Yes,1955,,10/12/2022,
Closed,6480 Allison Rd,Miami Beach,12/13/2022,"$29,500,000.00","$28,000,000.00",(5%),"$22,583,000.00","$2,197.22",(23%),"$2,724.27",0.81,130,7,9,0,"10,278","XXX23,760.00",3,Yes,2017,02/28/2023,12/13/2022,77
Active,80 S Hibiscus Dr,Miami Beach,02/28/2023,"$10,500,000.00","$10,000,000.00",(5%),,,,"$2,021.84",,373,3,2,0,"4,946","XXX10,500.00",0,Yes,1973,,02/28/2023,
Active,6300 Allison Rd,Miami Beach,03/13/2023,"$9,200,000.00","$8,900,000.00",(3%),,,,"$2,205.70",,111,5,4,1,"4,035","XXX16,243.00",2,Yes,1948,,03/13/2023,
Active,369 N Hibiscus Dr,Miami Beach,02/15/2023,"$16,000,000.00","$15,500,000.00",(3%),,,,"$1,886.56",,73,9,11,0,"8,216","XXX15,750.00",0,Yes,1954,,02/15/2023,
Closed,7717 Atlantic Way,Miami Beach,07/08/2022,"$25,000,000.00","$24,500,000.00",(2%),"$20,000,000.00","$2,730.75",(20%),"$3,345.17",0.82,672,5,7,1,"7,324","XXX16,000.00",2,Yes,2017,02/16/2023,07/08/2022,223
Closed,2608 Biarritz Dr,Miami Beach,07/12/2022,"$17,200,000.00","$16,900,000.00",(2%),"$15,500,000.00","$2,815.11",(10%),"$3,069.38",0.92,116,6,6,1,"5,506","XXX12,052.00",2,Yes,2019,09/27/2022,07/12/2022,77
Active,30 Palm Ave,Miami Beach,02/17/2023,"$43,000,000.00","$42,500,000.00",(1%),,,,"$4,427.54",,381,9,8,1,"9,599","XXX32,000.00",4,Yes,2013,,02/17/2023,
Active,1429 Biscaya Dr,Surfside,,"$5,500,000.00","$5,500,000.00",0% ,,,,"$2,675.10",,92,3,2,1,"2,056","XXX8,000.00",1,Yes,1957,,12/01/2022,
Active,1277 Biscaya Dr,Surfside,,"$5,670,000.00","$5,670,000.00",0% ,,,,"$2,275.28",,71,4,3,0,"2,492","XXX8,261.00",2,Yes,1955,,12/29/2022,
Active,1415 Marseille Dr,Miami Beach,,"$5,750,000.00","$5,750,000.00",0% ,,,,,,16,3,2,0,,"24,142",2,No,1941,,02/28/2023,
Active,1980 NE 124th St,North Miami,,"$5,900,000.00","$5,900,000.00",0% ,,,,"$1,149.20",,50,7,8,0,"5,134","XXX11,250.00",2,No,2023,,01/31/2023,
Active,970 S Shore Dr,Miami Beach,,"$6,000,000.00","$6,000,000.00",0% ,,,,"$1,989.39",,8,4,4,1,"3,016","XXX11,050.00",0,Yes,1955,,03/08/2023,
Active,3180 N Bay Rd,Miami Beach,,"$6,250,000.00","$6,250,000.00",0% ,,,,"$1,813.17",,41,5,3,0,"3,447","XXX10,271.00",0,Yes,1949,,02/15/2023,
Active,1925 N Hibiscus Dr,North Miami,,"$6,252,740.00","$6,252,740.00",0% ,,,,"$1,012.92",,113,6,5,1,"6,173","XXX8,475.00",2,Yes,1950,,11/30/2022,
Active,2040 NE 121st Rd,North Miami,,"$6,375,000.00","$6,375,000.00",0% ,,,,"$1,323.16",,29,6,7,0,"4,818","XXX9,375.00",2,Yes,2016,,02/21/2023,
Active,12710 Maple Rd,North Miami,,"$6,500,000.00","$6,500,000.00",0% ,,,,,,504,6,7,0,,"XXX9,504.00",3,Yes,2022,,01/12/2023,
Active,7720 Miami View Dr,North Bay Village,,"$6,800,000.00","$6,800,000.00",0% ,,,,"$1,809.47",,10,5,4,0,"3,758","XXX8,050.00",3,Yes,1981,,03/13/2023,
Active,13080 Coronado Ter,North Miami,,"$7,249,000.00","$7,249,000.00",0% ,,,,"$1,169.19",,127,6,7,1,"6,200","9,375",3,Yes,2024,,03/09/2023,
Active,1825 Daytonia Rd,Miami Beach,,"$7,320,000.00","$7,320,000.00",0% ,,,,"$1,400.15",,2,5,4,0,"5,228","XXX9,000.00",2,Yes,1952,,03/17/2023,
Active,860 Lakeview Dr,Miami Beach,,"$7,499,000.00","$7,499,000.00",0% ,,,,"$3,447.82",,266,3,2,0,"2,175","XXX18,630.00",1,No,1941,,06/20/2022,
Active,1340 Bay Dr,Miami Beach,,"$7,950,000.00","$7,950,000.00",0% ,,,,"$3,818.44",,128,3,3,1,"2,082","XXX14,450.00",1,No,1950,,11/15/2022,
Active,945 N Shore Dr,Miami Beach,,"$8,400,000.00","$8,400,000.00",0% ,,,,"$2,527.84",,27,3,3,0,"3,323","XXX14,423.00",0,Yes,1952,,02/24/2023,
Active,13295 Biscayne Bay Dr,North Miami,,"$8,500,000.00","$8,500,000.00",0% ,,,,"$1,774.90",,14,4,5,1,"4,789","XXX17,896.00",2,Yes,1969,,03/13/2023,
Active,603 E Dilido Dr,Miami Beach,,"$8,900,000.00","$8,900,000.00",0% ,,,,"$2,534.89",,207,5,3,2,"3,511","XXX10,500.00",1,Yes,1935,,02/14/2023,
Active,10875 N Bayshore Dr,Miami,,"$9,000,000.00","$9,000,000.00",0% ,,,,"$2,795.03",,144,5,6,0,"3,220","XXX12,764.00",2,Yes,1959,,12/29/2022,
Active,3427 N Meridian Ave,Miami Beach,,"$9,350,000.00","$9,350,000.00",0% ,,,,"$1,821.90",,299,7,7,0,"5,132","XXX10,290.00",1,Yes,2014,,11/21/2022,
