|URL|URL_2|HED|DEK|ADDRESS|description_link|PUB_YEAR|geo_address|loc|point|lat|lon|altitude
505|https://therealdeal.com/chicago/?p=151091|https://therealdeal.com/chicago/?p=151091|Obama strategist David Axelrod selling Gold Coast condo|The posh Water Tower Place unit was renovated by Nate Berkus and Marvin Herman Associates|180 East Pearson Street|"<a href=""https://therealdeal.com/chicago/?p=151091"" target=""_blank"" rel=""noopener noreferrer"">His close pal Rahm</a> Emanuel is giving up on the mayor’s job. David Axelrod is giving up on his Gold Coast condo."|2018|180 East Pearson Street Chicago, IL|180 E Pearson St, Chicago, IL 60611, USA|(41.8976934, -87.6223109, 0.0)|41.8976934|-87.6223109|0.0
506|https://therealdeal.com/chicago/?p=151167|https://therealdeal.com/chicago/?p=151167|Congress Theater redevelopment adds next-door resi building to plans|Developer Michael Moyer is seeking to build a 117-unit tower just north of the theater|2135 North Milwaukee Avenue|"<a href=""https://therealdeal.com/chicago/?p=151167"" target=""_blank"" rel=""noopener noreferrer"">The developer behind</a> the Congress Theater rehab is seeking to add a residential building next door."|2018|2135 North Milwaukee Avenue Chicago, IL|2135 N Milwaukee Ave, Chicago, IL 60647, USA|(41.92049009999999, -87.6922488, 0.0)|41.92049009999999|-87.6922488|0.0
507|https://therealdeal.com/chicago/?p=151247|https://therealdeal.com/chicago/?p=151247|CIM, Golub start massive overhaul on Tribune Tower|Redeveloping the historic property will first involve turning the landmark tower into 163 condos|435 North Michigan Avenue|"<a href=""https://therealdeal.com/chicago/?p=151247"" target=""_blank"" rel=""noopener noreferrer"">CIM Group and Golub</a> & Company will start the first phase of their massive overhaul of the historic Tribune Tower."|2018|435 North Michigan Avenue Chicago, IL|435 N Michigan Ave, Chicago, IL 60611, USA|(41.8903627, -87.62364989999999, 0.0)|41.8903627|-87.62364989999999|0.0
508|https://therealdeal.com/chicago/?p=151283|https://therealdeal.com/chicago/?p=151283|Marc Realty Capital wins approval for River City deconversion deal — again|Condo owners vote in favor of bulk sale for $91M months after the firm abruptly reduced its offering price|800 Wells Street|"<a href=""https://therealdeal.com/chicago/?p=151283"" target=""_blank"" rel=""noopener noreferrer"">Condominium owners</a> in River City approved a $90.5 million bulk sale to Marc Realty Capital in the latest deconversion in the city. That makes it one of the most expensive deconversions in Chicago."|2018|800 Wells Street Chicago, IL|800 N Wells St, Chicago, IL 60610, USA|(41.8967868, -87.6344795, 0.0)|41.8967868|-87.6344795|0.0
509|https://therealdeal.com/chicago/?p=151307|https://therealdeal.com/chicago/?p=151307|Still ready for their closeup: How these once-aspiring actors became broker stars|"Bit roles in ""Melrose Place,"" ""Heat"" and ""Never Been Kissed"" helped pave their new careers"|1995 to be an extra on “Melrose Place|"<a href=""https://therealdeal.com/chicago/?p=151307"" target=""_blank"" rel=""noopener noreferrer"">In Los Angeles, real</a> estate agents and executives often seem as glamorous and sensational as movie and television stars. That’s because some of them were actors — or, at least, tried to be."|2018|1995 to be an extra on “Melrose Place Chicago, IL|Melrose, Chicago, IL 60618, USA|(41.9426153, -87.6920873, 0.0)|41.9426153|-87.6920873|0.0
510|https://therealdeal.com/chicago/?p=151323|https://therealdeal.com/chicago/?p=151323|Bridge Investment buying landmark Loop office tower for $113M|The Utah-based firm is paying some 27% more than 1 North LaSalle Street’s owners paid for the building in 2016|1 North LaSalle Street|"<a href=""https://therealdeal.com/chicago/?p=151323"" target=""_blank"" rel=""noopener noreferrer"">Bridge Investment</a> Group is buying a landmark Loop office tower for $113 million, allowing the building’s owners to make a 26 percent improvement on their initial investment."|2018|1 North LaSalle Street Chicago, IL|1 N La Salle St, Chicago, IL 60602, USA|(41.8823104, -87.63203779999999, 0.0)|41.8823104|-87.63203779999999|0.0
511|https://therealdeal.com/chicago/?p=151343|https://therealdeal.com/chicago/?p=151343|Assemblers food-packing signs long-term lease for McCook location|The extension deal with Heitman Capital Management was for its 353K sf facility|8601 West 47th Street|"<a href=""https://therealdeal.com/chicago/?p=151343"" target=""_blank"" rel=""noopener noreferrer"">Food-packing company</a> Assemblers Inc. signed a long-term lease extension with Heitman Capital Management on its sprawling McCook location."|2018|8601 West 47th Street Chicago, IL|8601 47th St, McCook, IL 60525, USA|(41.803414, -87.8350207, 0.0)|41.803414|-87.8350207|0.0
512|https://therealdeal.com/chicago/?p=151379|https://therealdeal.com/chicago/?p=151379|The rise of the anonymous LLC|Tracing the rapid growth of New York’s favorite property investment vehicle and its controversial drawbacks|560 Seventh Avenue|"<a href=""https://therealdeal.com/chicago/?p=151379"" target=""_blank"" rel=""noopener noreferrer"">For more than four</a> years, nobody knew who bought the only $100 million apartment in Manhattan."|1513|560 Seventh Avenue Chicago, IL|560 7th Ave, La Grange, IL 60525, USA|(41.8034391, -87.8671782, 0.0)|41.8034391|-87.8671782|0.0
513|https://therealdeal.com/chicago/?p=151395|https://therealdeal.com/chicago/?p=151395|Springbank to start long awaited second phase of Arlington Downs mixed-use project|The next steps in the $320M project in Arlington Heights include a 116-key hotel and 263 rentals|1900 West Lawrence Avenue|"<a href=""https://therealdeal.com/chicago/?p=151395"" target=""_blank"" rel=""noopener noreferrer"">Six years after</a> Springbank Real Estate Group proposed the $320 million Arlington Downs development in Arlington Heights, the next phase of the project is ready to get off the ground."|2018|1900 West Lawrence Avenue Chicago, IL|1900 W Lawrence Ave, Chicago, IL 60640, USA|(41.9690095, -87.67702919999999, 0.0)|41.9690095|-87.67702919999999|0.0
514|https://therealdeal.com/chicago/?p=151419|https://therealdeal.com/chicago/?p=151419|Connor Group sued for improper utilities billing at Arlington Heights complex|The Ohio investor’s Stonebridge of Arlington heights is accused of improper billing, withholding security deposits|600 West Rand Road|"<a href=""https://therealdeal.com/chicago/?p=151419"" target=""_blank"" rel=""noopener noreferrer"">A national</a> mutifamily investment firm is being sued by a tenant of its Arlington Heights complex who says the company has been illegally charging for utilities and withholding security deposits."|2018|600 West Rand Road Chicago, IL|600 W Rand Rd, Arlington Heights, IL 60004, USA|(42.1205904, -87.9904325, 0.0)|42.1205904|-87.9904325|0.0
