,borough,block,lot,cd,council,zipcode,address,zonedist1,bldgclass,landuse,ownertype,ownername,Final,lotarea, bldgarea ,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,xcoord,ycoord,zonemap,version,latitude,longitude
40,MN,552,24,102.0,1.0,10011.0,35 WASHINGTON SQUARE W,R7-2,H8,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,16065,179800,,,,,,,,,1,16.0,0,1,110.0,150.0,110.0,150.0,5099850,12121200,1955,1989,2014,Greenwich Village Historic District,,11.19,3.44,0.0,6.5,1,1005520024,984368.0,205811.0,12c,22v2,40.7315803,-73.9995742
41,MN,1895,55,109.0,7.0,10025.0,2901 BROADWAY,R8,D6,4.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,17592,"  178,897 ",13687.0,165210.0,1687.0,12000.0,0.0,0.0,0.0,0.0,2,12.0,131,141,175.92,100.0,98.0,174.0,1260000,10157400,1910,0,0,,,10.17,6.02,0.0,6.5,1,1018950055,993804.0,233117.0,5c,22v2,40.806523,-73.9654888
42,MN,1881,3,107.0,7.0,10025.0,2824 BROADWAY,R9A,W6,8.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,17104,"  161,502 ",161502.0,0.0,11049.0,11838.0,0.0,0.0,0.0,68762.0,1,12.0,27,29,136.83,125.0,136.83,125.0,2052000,26427150,1998,0,0,,,9.44,7.52,0.0,7.5,1,1018810003,993529.0,232090.0,5d,22v2,40.8037044,-73.9664836
43,MN,540,14,102.0,1.0,10012.0,130 MAC DOUGAL STREET,R7-2,H8,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,17351,153348,40600.0,0.0,40600.0,0.0,0.0,0.0,0.0,0.0,2,14.0,0,2,90.67,175.0,175.0,116.0,5844150,8551350,1852,0,0,South Village Historic District,,8.84,3.44,0.0,6.5,1,1005400014,984272.0,205267.0,12c,22v2,40.7300871,-73.9999206
44,MN,1975,29,109.0,7.0,10027.0,1220 AMSTERDAM AVENUE,R8,D9,3.0,X,TEACHERS COLLEGE COLUMBIA UNIVERITY,COLUMBIA UNIVERSITY,25125,"  153,000 ",15800.0,137200.0,15800.0,0.0,0.0,0.0,0.0,0.0,2,9.0,356,356,201.83,125.0,201.83,125.0,711000,8361900,1901,1950,0,,,6.09,6.02,0.0,6.5,1,1019750029,995518.0,234319.0,5c,22v2,40.8098201,-73.9592954
45,SI,593,500,501.0,49.0,10301.0,300 HOWARD AVENUE,R3-1,W6,8.0,X,ST JOHNS UNIVERSITY,ST JOHN'S UNIVERSITY,718740,146855,146855.0,0.0,0.0,0.0,0.0,0.0,0.0,146855.0,10,2.0,0,1,2117.0,1161.42,122.0,56.0,9702900,22605750,1959,0,0,,,0.2,0.5,0.0,1.0,5,5005930500,959079.0,165643.0,21b,22v2,40.6212924,-74.090671
46,MN,465,1,103.0,2.0,10003.0,31 3 AVENUE,C6-2A,H8,8.0,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,27583,146583,7708.0,0.0,0.0,7708.0,0.0,0.0,0.0,0.0,1,16.0,0,7,184.42,137.0,163.0,122.0,8100000,20538000,1986,0,0,,,5.31,6.02,6.0,6.5,1,1004650001,987306.0,205330.0,12c,22v2,40.7302595,-73.9889737
47,MN,1373,160,108.0,5.0,10044.0,22 NORTH LOOP ROAD,C4-5,H2,5.0,C,CORNELL UNIVERSITY,CORNELL UNIVERSITY,18555,142554,,,,,,,,,1,19.0,0,197,159.47,166.7,113.5,127.0,2688750,13028400,2018,2018,0,,,7.68,3.44,3.4,6.5,1,1013730160,996560.0,214690.0,9b,22v2,40.7559424,-73.9555673
48,MN,568,1,102.0,2.0,10003.0,35 5 AVENUE,R10,H8,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,10390,141091,19840.0,0.0,0.0,0.0,0.0,0.0,0.0,19840.0,1,15.0,0,1,80.0,124.5,80.0,124.0,2920500,9484650,1925,0,0,Greenwich Village Historic District,,13.58,10.0,0.0,10.0,1,1005680001,985632.0,206494.0,12c,22v2,40.7334548,-73.9950134
49,MN,931,21,106.0,2.0,10010.0,334 EAST 26 STREET,R8,H8,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,19750,140423,,,,,,,,,1,25.0,0,1,100.0,197.5,60.0,48.0,4446000,16163100,1984,0,0,,,7.11,6.02,0.0,6.5,1,1009310021,990321.0,208436.0,8d,22v2,40.7387832,-73.9780925
50,MN,2139,275,112.0,10.0,10032.0,154 HAVEN AVENUE,R8,I4,8.0,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,17043,"  84,442 ",84442.0,0.0,0.0,0.0,0.0,0.0,0.0,84442.0,1,10.0,0,6,176.0,60.0,174.0,60.0,450000,8369100,1974,0,0,,,4.95,6.02,0.0,6.5,1,1021390275,1000071.0,247604.0,3b,22v2,40.8462767,-73.9428169
51,MN,562,30,102.0,2.0,10003.0,787 BROADWAY,C6-1,H8,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,9150,135910,,,,,,,,,1,16.0,0,1,53.5,168.33,53.5,168.0,2925000,8768700,1929,0,0,,,14.85,3.44,6.0,6.5,1,1005620030,986518.0,205993.0,12c,22v2,40.7320795,-73.9918166
52,MN,1963,60,109.0,7.0,10027.0,1255 AMSTERDAM AVENUE,R8,W6,8.0,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,25669,"  130,228 ",130228.0,0.0,0.0,0.0,0.0,0.0,0.0,130228.0,1,11.0,0,2,155.67,100.0,155.0,90.0,1020600,58181400,2013,0,0,,,5.07,6.02,0.0,6.5,1,1019630060,995853.0,234423.0,5c,22v2,40.8101051,-73.9580851
53,MN,552,60,102.0,1.0,10011.0,29 WASHINGTON SQUARE W,R7-2,H8,8.0,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,11400,128601,3615.0,0.0,3615.0,0.0,0.0,0.0,0.0,0.0,1,15.0,65,68,123.25,88.25,121.0,90.0,1674000,2981700,1927,1988,0,Greenwich Village Historic District,,11.28,3.44,0.0,6.5,1,1005520060,984525.0,206001.0,12c,22v2,40.7321018,-73.9990077
54,MN,545,6,102.0,2.0,10003.0,708 BROADWAY,M1-5/R9A,O6,5.0,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,16740,127143,127143.0,0.0,112143.0,15000.0,0.0,0.0,0.0,0.0,2,10.0,0,18,25.0,275.08,25.0,137.0,2920500,26331750,1896,1989,2018,NoHo Historic District,,7.6,0.0,5.0,6.5,1,1005450006,986132.0,204701.0,12c,22v2,40.7285334,-73.9932098
55,MN,1896,65,109.0,7.0,10025.0,2941 BROADWAY,R8,D6,4.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,12614,"  126,478 ",12184.0,114294.0,0.0,8000.0,0.0,0.0,0.0,4184.0,1,12.0,94,96,100.92,125.0,100.0,112.0,720000,5033250,1912,0,0,,,10.03,6.02,0.0,6.5,1,1018960065,994029.0,233549.0,5c,22v2,40.8077085,-73.9646754
56,MN,570,42,102.0,2.0,10003.0,7 EAST 12 STREET,C6-1,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,12700,125588,125588.0,0.0,0.0,0.0,0.0,0.0,0.0,125588.0,1,12.0,0,1,100.0,127.25,100.0,100.0,2925000,20677050,1947,1972,0,,,9.89,3.44,6.0,6.5,1,1005700042,986009.0,206891.0,12c,22v2,40.7345444,-73.993653
57,MN,546,11,102.0,1.0,10003.0,35 WEST 4 STREET,R7-2,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,6750,125450,125450.0,0.0,0.0,0.0,0.0,0.0,0.0,125450.0,1,13.0,0,2,100.0,95.33,100.0,95.0,1138500,10154250,1930,1982,2001,,,18.59,3.44,0.0,6.5,1,1005460011,985390.0,205042.0,12c,22v2,40.7294695,-73.9958868
58,MN,1893,3,107.0,6.0,10025.0,362 RIVERSIDE DRIVE,R8,D3,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,15183,"  124,458 ",0.0,124458.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.0,41,41,151.83,100.0,152.0,100.0,585000,13944600,1905,1985,0,Morningside Heights Historic District,,8.2,6.02,0.0,6.5,1,1018930003,992944.0,232142.0,5d,22v2,40.8038478,-73.9685966
