borough,block,lot,cd,council,zipcode,address,zonedist1,bldgclass,landuse,ownertype,ownername,Final,lotarea, bldgarea ,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,xcoord,ycoord,zonemap,version,latitude,longitude
SI,620,200,501,49,10301,15 CAMPUS ROAD,R3-1,W9,8,X,WAGNER COLLEGE,WAGNER COLLEGE,57863,78475,78475,0,0,0,0,0,0,78475,1,3,0,1,320.83,175.83,41.83,44.83,576000,4637250,1967,0,0,,,1.36,0.5,0,1,5,5006200200,958422,163526,21b,22v2,40.6154798,-74.0930295
BK,1915,16,302,35,11205,232 CLINTON AVENUE,R6B,W6,8,X,ST JOSEPH'S COLLEGE,ST JOSEPH'S COLLEGE,58600,78000,78000,0,0,0,0,0,0,78000,3,4,0,1,320.83,180,50,60,823500,6036750,1965,2003,0,Clinton Hill Historic District,,1.33,2,0,2,3,3019150016,992855,191040,16c,22v2,40.6910332,-73.9689707
MN,1884,11,109,7,10025,531 WEST 112 STREET,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,10100,"  75,569 ",1301,74268,0,0,0,0,0,1301,1,8,41,41,100,100.92,100,85,351450,1423350,1912,0,0,,,7.48,6.02,0,6.5,1,1018840011,994071,232626,5c,22v2,40.805175,-73.9645251
BX,3273,209,206,15,10458,2540 BELMONT AVENUE,C4-5D,W6,8,X,FORDHAM UNIVERSITY,FORDHAM UNIVERSITY,39123,75065,75065,0,0,0,0,0,0,75065,1,5,0,1,207,189.17,125,100,330750,6225750,1931,2017,2018,,,1.92,4.2,4.2,4.2,2,2032730209,1016648,252024,3c,22v2,40.858363,-73.8828799
MN,1990,29,109,7,10027,39 CLAREMONT AVENUE,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,10000,"  74,634 ",0,74634,0,0,0,0,0,0,1,11,44,44,100,100,100,80,232650,2212650,1911,1988,0,Morningside Heights Historic District,,7.46,6.02,0,6.5,1,1019900029,994179,234382,5c,22v2,40.8099946,-73.9641324
MN,1896,74,109,7,10027,602 WEST 116 STREET,R8,D3,3,,THE TRUSTEES OF COLUMBIA UNIVERSITY OF THE CITY OF NEW YORK,COLUMBIA UNIVERSITY,7569,"  73,800 ",0,73800,0,0,0,0,0,0,1,12,45,45,75,100.92,73,80,405000,1616850,1908,1985,0,Morningside Heights Historic District,,9.75,6.02,0,6.5,1,1018960074,994012,233679,5c,22v2,40.8080653,-73.9647367
MN,1963,48,109,7,10027,110 MORNINGSIDE DRIVE,R8,D1,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,16381,"  72,222 ",0,72222,0,0,0,0,0,0,1,6,52,52,105.33,176.75,105,152,298800,3100500,1910,1986,0,,,4.41,6.02,0,6.5,1,1019630048,996002,234293,5c,22v2,40.8097481,-73.9575471
MN,2149,76,112,10,10033,2525 AMSTERDAM AVENUE,R7-2,H8,8,X,YESHIVA UNIVERSITY,YESHIVA UNIVERSITY,17100,72187,,,,,,,,,1,8,0,1,169.5,100,170,58,317700,3765150,1963,0,0,,,4.22,3.44,0,6.5,1,1021490076,1004016,249246,3a,22v2,40.8507755,-73.9285533
MN,547,20,102,1,10003,15 WASHINGTON PLACE,R7-2,W6,8,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,15000,71270,71270,0,0,0,0,0,0,71270,1,6,0,1,150,100,144,80,675000,1831500,1941,0,0,,,4.75,3.44,0,6.5,1,1005470020,985699,205156,12c,22v2,40.7297824,-73.9947719
BK,6718,1,314,44,11230,1606 AVENUE J,R2,W6,8,X,TOURO COLLEGE,TOURO COLLEGE,20000,71000,71000,0,0,0,0,0,0,71000,2,6,0,1,200,100,200,100,1719000,11273850,1993,0,0,,,3.55,0.5,0,1,3,3067180001,995367,167018,22d,22v2,40.6250953,-73.9599521
MN,546,10,102,1,10003,18 WASHINGTON PLACE,R7-2,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,8779,69800,69800,0,0,7158,0,0,0,62642,1,8,0,3,90.5,97.08,90.5,97,1480500,10228500,1910,2014,0,,,7.95,3.44,0,6.5,1,1005460010,985448,205123,12c,22v2,40.7296918,-73.9956775
MN,927,38,106,2,10010,320 EAST 22 STREET,R8B,D3,3,,NEW YORK UNIVERSITY,Langone Health,15112,67048,3200,63848,0,0,3200,0,0,0,1,8,94,94,155,97.5,155,97,1467000,11883150,1948,1979,0,,,4.44,4,0,4,1,1009270038,989722,207604,12c,22v2,40.7364999,-73.9802547
MN,541,8001,102,1,10012,40 WASHINGTON SQUARE S,,W6,8,X,NEW YORK UNIVERSITYSCHOOL OF LAW FOUNDAT ION,NEW YORK UNIVERSITY,41835,66636,66636,0,0,0,0,0,0,66636,1,1,0,1,200.17,209,200.16,209,490500,2506500,1950,0,0,,,1.59,0,0,0,1,1005418001,,,,22v2,,
MN,1962,61,109,7,10027,414 WEST 120 STREET,R8,D1,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,15000,"  64,842 ",0,64842,0,0,0,0,0,0,1,6,87,87,150,100,150,87,292050,2750400,1926,1987,0,,,4.32,6.02,0,6.5,1,1019620061,995730,233920,5c,22v2,40.8087247,-73.9585303
BK,1916,13,302,35,11205,245 CLINTON AVENUE,R6B,W6,8,X,ST JOSEPH'S COLLEGE,ST JOSEPH'S COLLEGE,32400,64400,64400,0,0,0,0,0,0,64400,1,3,0,1,180.17,180,80,160,454500,3951450,1901,1970,0,Clinton Hill Historic District,,1.99,2,0,2,3,3019160013,993191,190852,16c,22v2,40.6905169,-73.9677593
MN,531,20,102,1,10003,383 LAFAYETTE STREET,M1-5/R9A,O2,5,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,14030,64347,64347,0,64347,0,0,0,0,0,1,4,0,4,79,170.67,79,171,1354500,7931700,1913,1988,2015,NoHo Historic District,,4.59,0,5,6.5,1,1005310020,986228,204326,12c,22v2,40.7275041,-73.9928635
BX,3222,1,205,14,10453,2051 UNIVERSITY AVENUE,R5,W5,8,O,BRONX COMMUNITY COLLEGE,BRONX COMMUNITY COLLEGE,65200,63750,63750,0,63750,0,0,0,0,0,1,5,0,1,413.17,199.58,250,51,406350,5507550,1955,0,0,,,0.98,1.25,0,2,2,2032220001,1008993,251305,3c,22v2,40.8564143,-73.9105557
MN,1896,80,109,7,10027,616 WEST 116 STREET,R8,H8,8,X,BARNARD COLLEGE,BARNARD COLLEGE,7569,63500,,,,,,,,,1,10,0,1,75,100.92,75,80,902700,4220100,1907,0,0,Morningside Heights Historic District,,8.39,6.02,0,6.5,1,1018960080,993880,233751,5c,22v2,40.8082631,-73.9652134
QN,2246,41,406,29,11375,71-02 113 STREET,R1-2A,W2,8,X,TOURO COLLEGE,TOURO COLLEGE,31000,63400,63400,0,63400,0,0,0,0,0,3,3,0,0,246,100,70,133,936000,5604300,1957,0,0,,,2.05,0.5,0,1,4,4022460041,1029016,202690,14a,22v2,40.7229006,-73.838498
MN,1994,72,109,7,10027,195 CLAREMONT AVENUE,R8,D7,4,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,13650,"  63,194 ",1422,61772,0,1422,0,0,0,0,1,6,58,59,150,91,140,90,314550,3031650,1925,1988,0,,,4.63,6.02,0,6.5,1,1019940072,995268,236333,5c,22v2,40.8153483,-73.9601952
BK,142,50,302,33,11201,315 JAY STREET,C6-4,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,27312,63000,63000,0,0,0,0,0,0,63000,1,,0,1,150.42,215,150,215,1885050,8378550,1930,0,0,,,2.31,10,10,10,3,3001420050,987944,192362,12d,22v2,40.6946652,-73.9866788
MN,1896,83,109,7,10027,620 WEST 116 STREET,R8,H8,8,,BARNARD COLLEGE,BARNARD COLLEGE,7569,62250,,,,,,,,,1,10,0,41,75,100.92,75,82,472500,3114900,1907,0,0,Morningside Heights Historic District,,8.22,6.02,0,6.5,1,1018960083,993813,233788,5c,22v2,40.8083647,-73.9654553
MN,1896,87,109,7,10025,435 RIVERSIDE DRIVE,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,5750,"  61,819 ",0,61819,0,0,0,0,0,0,1,12,35,35,102,103,103,93,360000,1663200,1910,1989,0,Morningside Heights Historic District,,10.75,6.02,0,6.5,1,1018960087,993746,233841,5c,22v2,40.8085102,-73.9656973
MN,546,33,102,1,10003,713 BROADWAY,C6-2G,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,4975,61582,61582,0,0,0,0,0,0,61582,1,10,0,1,49.75,100,49.75,100,841500,5407650,1971,0,0,NoHo Historic District,,12.38,6.02,6,6.5,1,1005460033,985877,204874,12c,22v2,40.7290083,-73.9941297
MN,176,1,101,1,10013,57 WORTH STREET,C6-4,W6,8,X,NEW YORK LAW SCHOOL,NEW YORK LAW SCHOOL,5080,60610,60610,0,60610,0,0,0,0,0,1,9,0,3,50.67,100,51,100,1129500,6006150,1928,1985,0,,,11.93,10,10,10,1,1001760001,982498,200628,12a,22v2,40.717354,-74.0063201
MN,1990,64,109,7,10027,448 RIVERSIDE DRIVE,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,7615,"  60,576 ",0,60576,0,0,0,0,0,0,1,12,25,25,58.75,135.42,59,108,174600,1578600,1910,1988,0,Morningside Heights Historic District,,7.95,6.02,0,6.5,1,1019900064,993933,234113,5c,22v2,40.8092566,-73.9650214
MN,1990,13,109,7,10027,25 CLAREMONT AVENUE,R8,D3,3,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,7815,"  60,104 ",0,60104,0,0,0,0,0,0,1,11,32,32,78.08,100,78,80,175050,1816200,1910,1988,0,Morningside Heights Historic District,,7.69,6.02,0,6.5,1,1019900013,994081,234205,5c,22v2,40.8095089,-73.9644866
MN,1895,16,109,7,10025,2881 BROADWAY,R8,D7,4,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,10092,"  59,131 ",8158,50973,0,8158,0,0,0,0,1,7,38,43,100.92,100.92,101,92,967500,4315050,1902,0,0,Morningside Heights Historic District,,5.86,6.02,0,6.5,1,1018950016,993660,232854,5c,22v2,40.8058013,-73.9660093
MN,1884,1,109,7,10025,2880 BROADWAY,R8,O6,5,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,10092,"  59,018 ",59018,0,47489,5529,0,0,0,6000,1,7,0,6,100.92,100,101,95,720000,5274900,1904,0,0,Morningside Heights Historic District,,5.85,6.02,0,6.5,1,1018840001,993870,232737,5c,22v2,40.8054799,-73.965251
MN,1963,16,109,7,10027,100 MORNINGSIDE DRIVE,R8,D3,3,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,13275,"  58,860 ",0,58860,0,0,0,0,0,0,1,6,70,70,101.83,138.33,102,116,387000,3159000,1910,1974,0,,,4.43,6.02,0,6.5,1,1019630016,995928,234037,5c,22v2,40.8090456,-73.9578149
MN,1990,61,109,7,10027,450 RIVERSIDE DRIVE,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,8400,"  58,840 ",1644,57196,1644,0,0,0,0,0,1,10,31,32,84,100,84,80,193500,1847700,1909,1988,0,Morningside Heights Historic District,,7,6.02,0,6.5,1,1019900061,993953,234183,5c,22v2,40.8094487,-73.9649491
MN,1990,10,109,7,10027,21 CLAREMONT AVENUE,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,8400,"  58,750 ",2000,56750,2000,0,0,0,0,0,1,10,47,47,84,100,84,94,194400,2266200,1910,1988,1993,Morningside Heights Historic District,,6.99,6.02,0,6.5,1,1019900010,994042,234134,5c,22v2,40.8093141,-73.9646276
MN,558,37,103,2,10003,131 EAST 12 STREET,C6-2A,H8,8,X,NEW SCHOOL SOCIAL RSRCH,NEW SCHOOL,6055,58578,3400,0,0,3400,0,0,0,0,1,16,200,201,80,103,80,49,1935000,5377050,1989,1990,0,,,9.67,6.02,6,6.5,1,1005580037,987434,206091,12c,22v2,40.7323482,-73.9885115
MN,1885,43,109,7,10025,520 WEST 114 STREET,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,7575,"  57,430 ",0,57430,0,0,0,0,0,0,1,8,37,37,75,101,75,84,274050,1462950,1921,0,0,,,7.58,6.02,0,6.5,1,1018850043,994434,232843,5c,22v2,40.8057702,-73.9632135
MN,1885,40,109,7,10025,514 WEST 114 STREET,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,7575,"  57,300 ",0,57300,0,0,0,0,0,0,1,8,49,49,75,101,75,82,360000,2560050,1920,1962,0,,,7.56,6.02,0,6.5,1,1018850040,994500,232807,5c,22v2,40.8056713,-73.9629752
MN,1884,48,109,7,10025,536 WEST 113 STREET,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,7575,"  56,780 ",0,56780,0,0,0,0,0,0,1,8,48,48,75,100.92,75,81,495000,2292300,1919,0,0,,,7.5,6.02,0,6.5,1,1018840048,994198,232673,5c,22v2,40.8053039,-73.9640663
MN,546,26,102,1,10012,21 WEST 4 STREET,R7-2,O2,5,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,9900,56684,56684,0,56684,0,0,0,0,0,1,6,0,1,102.83,96.25,102.84,96,783000,4585950,1920,1980,0,,,5.73,3.44,0,6.5,1,1005460026,985538,204946,12c,22v2,40.729206,-73.9953529
MN,1962,44,109,7,10027,421 WEST 119 STREET,R8,D9,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,9275,"  56,423 ",0,56423,0,0,0,0,0,0,1,9,80,80,150,61.83,150,47,166050,3127500,1920,0,0,,,6.08,6.02,0,6.5,1,1019620044,995689,233847,5c,22v2,40.8085244,-73.9586785
MN,1990,5,109,7,10027,15 CLAREMONT AVENUE,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,8400,"  55,960 ",0,55960,0,0,0,0,0,0,1,10,27,27,119.75,64.5,119.75,53,194400,1620900,1909,0,0,Morningside Heights Historic District,,6.66,6.02,0,6.5,1,1019900005,994002,234039,5c,22v2,40.8090534,-73.9647723
MN,1995,31,109,7,10027,3207 BROADWAY,C6-1,W6,8,X,THE TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,17798,"  55,890 ",55890,0,55890,0,0,0,0,0,1,3,0,1,299.67,132.79,237.75,132.79,1800450,10494900,2016,0,0,,,3.14,3.44,6,6.5,1,1019950031,995740,236696,5c,22v2,40.816344,-73.9584894
BK,7555,27,314,45,11210,2705 CAMPUS ROAD,R7A,P5,8,X,CITY UNIVERSITY OF NEW YORK,CITY UNIVERSITY OF NEW YORK,16000,55800,55800,0,0,0,0,0,0,55800,1,6,0,1,80,200,62,150,558000,6838200,1954,0,0,,,3.49,4,0,4,3,3075550027,998020,169751,23a,22v2,40.6325931,-73.9503893
MN,1749,24,111,9,10035,55 EAST 124 STREET,C4-7,W6,8,X,NEW YORK COLLEGE OF PODIATRIC MEDICINE,NEW YORK COLLEGE OF PODIATRIC MEDICINE,17409,55770,55770,0,55770,0,0,0,0,0,1,5,0,4,172.5,100.92,173,101,317700,2715750,1927,1988,0,,,3.2,10,10,10,1,1017490024,1000768,232554,6a,22v2,40.8049674,-73.9403347
QN,725,22,401,26,11103,46-02 31 AVENUE,R5,M9,8,,"NEW YORK SCHOOL OF URBAN MINISTRY, INC","NEW YORK SCHOOL OF URBAN MINISTRY, INC",32500,55500,55500,0,0,0,0,0,0,55500,1,4,0,2,200.03,174.61,100,56.5,877500,2728800,1928,2010,1962,,,1.71,1.25,0,2,4,4007250022,1008591,215671,9b,22v2,40.75861,-73.9121381
QN,6517,250,408,24,11367,152-50 MELBOURNE AVENUE,R4,W6,8,O,QUEENS COLLEGE,QUEENS COLLEGE,39232,55485,55485,0,55485,0,0,0,0,0,1,3,0,0,200.75,200,200,169,688500,5476050,1970,0,0,,,1.41,0.75,0,2,4,4065170250,1034690,206940,14c,22v2,40.7345353,-73.8179961
MN,548,9,102,1,10003,13 UNIVERSITY PLACE,C1-7,O5,5,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,9370,55224,55224,0,50185,5039,0,0,0,0,1,6,0,4,118.33,75.17,118.33,75.16,1080000,5222250,1930,2000,0,,,5.89,6.02,2,6.5,1,1005480009,985709,205706,12c,22v2,40.731292,-73.9947357
MN,1867,67,109,7,10027,420 WEST 116 STREET,R8,O6,5,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,7569,"  55,067 ",55067,0,15750,0,0,0,0,39317,2,10,65,66,75,100.92,75,99,302850,4136850,1907,1989,1996,,,7.28,6.02,0,6.5,1,1018670067,995257,232991,5c,22v2,40.8061755,-73.9602405
MN,1990,67,109,7,10027,445 RIVERSIDE DRIVE,R8,D3,3,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,6935,"  55,056 ",0,55056,0,0,0,0,0,0,1,12,25,25,58.75,123.83,59,98,147150,2052000,1910,1988,0,Morningside Heights Historic District,,7.94,6.02,0,6.5,1,1019900067,993899,234064,5c,22v2,40.8091221,-73.9651443
MN,546,31,102,1,10003,4 WASHINGTON PLACE,C6-2G,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,4975,54725,54725,0,0,0,0,0,0,54725,1,11,0,1,49.75,100,49.75,100,837000,4441050,1904,0,0,NoHo Historic District,,11,6.02,6,6.5,1,1005460031,985790,204930,12c,22v2,40.729162,-73.9944436
MN,1884,15,109,7,10025,523 WEST 112 STREET,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,7569,"  54,567 ",0,54567,0,0,0,0,0,0,1,8,49,49,75,100.92,75,85,360000,2402100,1925,0,0,,,7.21,6.02,0,6.5,1,1018840015,994148,232583,5c,22v2,40.8050569,-73.964247
BX,5777,719,208,11,10463,3830 WALDO AVENUE,R6,W6,8,X,MANHATTAN COLLEGE,MANHATTAN COLLEGE,57750,54392,54392,0,0,0,0,0,0,54392,1,5,0,1,475,100.92,105,170,450000,3232800,2013,0,0,,,0.94,2.43,0,4.8,2,2057770719,1011098,262836,1d,22v2,40.8880572,-73.9029001
MN,1962,26,109,7,10027,414 WEST 119 STREET,R8,D7,4,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,12615,"  54,100 ",4400,49700,0,4400,0,0,0,0,1,6,56,57,125,100.92,124,86,221850,1761300,1925,1986,0,,,4.29,6.02,0,6.5,1,1019620026,995610,233734,5c,22v2,40.8082143,-73.9589641
MN,547,5,102,1,10003,24 WAVERLY PLACE,R7-2,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,5104,53482,53482,0,0,0,0,0,0,53482,1,11,0,1,62.75,81.33,62.75,81,841500,4680000,1906,1989,0,,,10.48,3.44,0,6.5,1,1005470005,985602,205335,12c,22v2,40.7302737,-73.9951219
MN,1994,81,109,7,10027,549 RIVERSIDE DRIVE,R8,D7,4,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,11020,"  53,418 ",573,52845,0,573,0,0,0,0,1,6,60,61,116,95,104,95,255150,2006100,1925,1988,0,,,4.85,6.02,0,6.5,1,1019940081,995194,236394,5c,22v2,40.8155158,-73.9604625
MN,1962,31,109,7,10027,424 WEST 119 STREET,R8,D1,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,11396,"  53,352 ",0,53352,0,0,0,0,0,0,1,6,47,47,100,127,100,111,200700,2007000,1925,0,0,,,4.68,6.02,0,6.5,1,1019620031,995506,233783,5c,22v2,40.808349,-73.9593397
MN,1999,36,109,7,10027,3291 BROADWAY,C6-1,D7,4,P,TRUSTEES OF COLUMBIA UNIVERSITY IN THE C ITY OF NEW,COLUMBIA UNIVERSITY,10625,"  53,340 ",3650,49690,0,3650,0,0,0,0,1,6,50,55,74.92,125,73,112,206100,2067300,1905,1998,0,,,5.02,3.44,6,6.5,1,1019990036,996266,237596,5c,22v2,40.8188136,-73.9565875
BK,255,12,302,33,11201,REMSEN STREET,C5-2A,W6,8,X,ST FRANCIS COLLEGE,ST FRANCIS COLLEGE,6658,53265,53265,0,0,0,0,0,0,53265,1,8,0,1,65.83,97.38,65.83,97.39,791100,9986400,2007,0,0,,,8,10,10,10,3,3002550012,986469,191716,16c,22v2,40.6928926,-73.9919981
QN,1064,2,403,22,11369,86-01 23 AVENUE,M1-1,W3,8,X,COLLEGE OF AERONAUTICS,COLLEGE OF AERONAUTICS,169223,52836,52836,0,0,0,0,0,0,52836,1,2,0,1,699.99,365,305,45,3807450,14303250,1940,2011,1983,,,0.31,0,1,2.4,4,4010640002,1016877,219068,9c,22v2,40.7679072,-73.8822123
MN,885,15,105,2,10016,119 EAST 29 STREET,C4-5A,H8,8,X,YESHIVA UNIVERSITY,YESHIVA UNIVERSITY,9871,52604,,,,,,,,,1,8,0,1,50,98.75,50,97,2250000,4655700,1930,1985,0,,,5.33,4,4,4,1,1008850015,989170,210207,8d,22v2,40.7436448,-73.9822446
BX,4117,5,211,13,10461,SACKETT AVENUE,R4,I9,8,,"YESHIVA UNIVERSITY, A NEW YORK EDUCATION CORP",YESHIVA UNIVERSITY,142454,601260,601260,0,0,0,0,0,0,601260,1,9,0,1,386,464,88.83,282,852750,37872450,1954,0,0,,,4.22,0.75,0,2,2,2041170005,1026830,248582,4a,22v2,40.8488725,-73.8460935
MN,547,14,102,1,10003,18 WAVERLY PLACE,R7-2,W5,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,13624,51044,51044,0,0,0,0,0,0,51044,2,6,0,2,83.33,81.5,83.33,82,1057500,4071150,1900,0,0,,,3.75,3.44,0,6.5,1,1005470014,985701,205270,12c,22v2,40.7300953,-73.9947647
MN,1976,36,109,7,10027,1254 AMSTERDAM AVENUE,R8,D7,4,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,9092,"  50,916 ",4820,46096,3000,1820,0,0,0,0,1,6,52,53,90.92,100,91,86,613800,2446200,1926,1982,0,,,5.6,6.02,0,6.5,1,1019760036,995679,234591,5c,22v2,40.8105665,-73.9587134
MN,1990,50,109,7,10027,460 RIVERSIDE DRIVE,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,6250,"  50,120 ",0,50120,0,0,0,0,0,0,1,12,25,25,62.5,100,63,78,136350,1581300,1910,0,0,Morningside Heights Historic District,,8.02,6.02,0,6.5,1,1019900050,994082,234415,5c,22v2,40.8100853,-73.9644827
MN,1990,44,109,7,10027,464 RIVERSIDE DRIVE,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,6250,"  50,120 ",0,50120,0,0,0,0,0,0,1,12,25,25,62.5,100,63,78,135450,1364850,1910,1989,0,Morningside Heights Historic District,,8.02,6.02,0,6.5,1,1019900044,994112,234469,5c,22v2,40.8102335,-73.9643743
MN,543,53,102,1,10012,139 MAC DOUGAL STREET,R7-2,W9,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,8431,49757,49757,0,0,0,0,0,0,49757,1,6,0,1,96.5,86,97,85,2430000,6722100,2011,0,0,South Village Historic District,,5.9,3.44,0,6.5,1,1005430053,984242,205557,12c,22v2,40.7308831,-74.0000289
MN,1464,28,108,5,10021,1301 YORK AVENUE,R8,I9,8,X,CORNELL UNIVERSITY,CORNELL UNIVERSITY,19984,352000,352000,0,352000,0,0,0,0,0,1,15,0,1,100.42,199,115,100,3742366,43274700,2004,0,0,,,17.61,6.02,0,6.5,1,1014640028,996638,218187,9a,22v2,40.7655406,-73.9552793
MN,2139,210,112,10,10032,52 HAVEN AVENUE,R8,I9,8,X,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,COLUMBIA UNIVERSITY,28960,"  136,608 ",136608,0,0,0,0,0,0,136608,1,11,0,1,180.58,143.92,175,80,675000,13442400,1919,0,0,,,4.72,6.02,0,6.5,1,1021390210,999940,246544,3b,22v2,40.8433675,-73.9432928
MN,576,42,102,3,10011,64 5 AVENUE,C6-4,W6,8,X,NEW SCHOOL/SOCIAL RES.,NEW SCHOOL,6045,49391,49391,0,0,0,0,0,0,49391,1,8,0,2,51.5,115,51.5,115,1231200,3912300,1920,1925,0,,,8.17,10,10,10,1,1005760042,985733,207128,12c,22v2,40.735195,-73.9946488
MN,1990,54,109,7,10027,452 RIVERSIDE DRIVE,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,7815,"  49,101 ",0,49100,0,0,0,0,0,0,1,9,54,54,78.08,100,78,82,174600,1729800,1910,1988,0,Morningside Heights Historic District,,6.28,6.02,0,6.5,1,1019900054,993993,234254,5c,22v2,40.8096435,-73.9648045
MN,176,4,101,1,10013,53 WORTH STREET,C6-4,W6,8,X,NEW YORK LAW SCHOOL,NEW YORK LAW SCHOOL,10050,49000,49000,0,49000,0,0,0,0,0,2,5,0,2,100,100.33,48,97,2106000,5978250,1915,0,0,,,4.88,10,10,10,1,1001760004,982432,200668,12a,22v2,40.7174638,-74.0065582
SI,620,300,501,49,10301,34 CAMPUS ROAD,R3-1,W9,8,X,WAGNER COLLEGE,WAGNER COLLEGE,58710,48600,48600,0,0,0,0,0,0,48600,3,3,0,1,101.14,380.36,37.83,55.83,580500,4533750,1968,0,0,,,0.83,0.5,0,1,5,5006200300,957829,163133,21b,22v2,40.6143994,-74.0951639
MN,1884,18,109,7,10025,521 WEST 112 STREET,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,9375,"  47,731 ",0,47731,0,0,0,0,0,0,1,8,44,44,75,125.33,75,98,675000,2321550,1920,0,0,,,5.09,6.02,0,6.5,1,1018840018,994216,232548,5c,22v2,40.8049608,-73.9640014
BX,5947,120,208,11,10471,5655 ARLINGTON AVENUE,R1-1,M4,8,X,ST JOSEPHS SEMINARY & COLLEGE,ST JOSEPHS SEMINARY & COLLEGE,273000,47712,47712,0,0,0,0,0,0,47712,1,2,0,1,400,649,40,171,4414050,10944900,1931,2015,0,,,0.17,0.5,0,1,2,2059470120,1009263,269426,1c,22v2,40.90615,-73.909512
MN,1990,52,109,7,10027,456 RIVERSIDE DRIVE,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,5668,"  47,327 ",0,47327,0,0,0,0,0,0,1,12,45,45,56.67,100,57,80,135900,1546650,1911,1988,0,Morningside Heights Historic District,,8.35,6.02,0,6.5,1,1019900052,994053,234363,5c,22v2,40.8099426,-73.9645876
MN,1867,23,109,7,10025,402 WEST 115 STREET,R8,D7,4,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,10417,"  47,145 ",7145,40000,7145,0,0,0,0,0,1,6,32,36,100,104.17,76,96,360000,1407150,1920,1988,0,,,4.53,6.02,0,6.5,1,1018670023,995263,232680,5c,22v2,40.8053218,-73.9602193
