borough,block,lot,cd,council,zipcode,address,zonedist1,bldgclass,landuse,ownertype,ownername,Final,lotarea, bldgarea ,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,xcoord,ycoord,zonemap,version,latitude,longitude
BX,3222,620,205,14,10453,SEDGWICK AVENUE,R5,W5,8,X,BRONX COMMUNITY COLLEGE,BRONX COMMUNITY COLLEGE,62315,412062,412062,0,412062,0,0,0,0,0,3,6,0,0,240,173.75,297,300,362700,19905300,1936,0,0,,,6.61,1.25,0,2,2,2032220620,1008279,251588,3a,22v2,40.857193,-73.9131357
MN,1957,1,109,9,10027,85 CONVENT AVENUE,R7-2,W5,8,O,CITY COLLEGE,CITY COLLEGE,477375,400160,400160,0,400160,0,0,0,0,0,9,5,0,1,1218.33,245.67,460,1300,10741050,350367750,1930,0,0,,,0.84,3.44,0,6.5,1,1019570001,997778,236735,6a,22v2,40.8164482,-73.9511265
MN,547,30,102,1,10003,715 BROADWAY,C6-2G,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,31892,366268,366268,0,363768,2500,0,0,0,0,2,12,0,4,184.33,200,184.33,200,5670000,26424900,1896,1988,2001,NoHo Historic District,,11.48,6.02,6,6.5,1,1005470030,985946,205056,12c,22v2,40.7295078,-73.9938807
MN,1961,57,109,7,10027,74 MORNINGSIDE DRIVE,R8,D7,4,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,25228,"  365,100 ",10870,354230,10870,0,0,0,0,0,1,23,157,158,201.83,125,200,50,513000,19473300,1980,0,0,,,14.47,6.02,0,6.5,1,1019610057,995614,233376,5c,22v2,40.8072317,-73.9589503
BK,8760,60,315,48,11235,2001 ORIENTAL BOULEVARD,R3-1,W6,8,O,CITY UNIVERSITY OF NEW YORK,CITY UNIVERSITY OF NEW YORK,2430020,353600,353600,0,353600,0,0,0,0,0,22,8,0,1,884.25,399,0,0,33686100,73188900,1967,2009,0,,,0.15,0.5,0,1,3,3087600060,1002543,149854,29b,22v2,40.5779717,-73.9341477
MN,2139,219,112,10,10032,78 HAVEN AVENUE,R8,I4,8,X,THE TRUSTEES OF COLUMBIA UNIVERSITY IN T HE CITY OF NEW YORK,COLUMBIA UNIVERSITY,26025,"  807,327 ",807327,0,0,0,0,0,0,807327,1,31,0,1,85,200.42,52,124,2925000,74113200,1970,0,0,,,31.02,6.02,0,6.5,1,1021390219,999931,246745,3b,22v2,40.8439192,-73.9433249
BK,142,7502,302,33,11201,6 METROTECH CENTER,C6-4,RA,8,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,46024,349527,349527,0,0,0,0,0,0,349527,1,8,0,2,263.52,215,200,200,3104100,38298600,1920,0,0,,,7.59,10,10,10,3,3001427502,987962,192193,12d,22v2,40.6942013,-73.986614
MN,1995,63,109,7,10027,564 RIVERSIDE DRIVE,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,42200,"  339,104 ",137000,202104,0,0,137000,0,0,0,1,26,182,182,84.17,265,84.17,265,1048500,10379700,1964,0,0,,,8.04,6.02,0,6.5,1,1019950063,995225,236888,5c,22v2,40.8168717,-73.9603497
MN,467,1,103,2,10003,67 3 AVENUE,C6-2A,H8,8,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,36022,337600,7600,0,0,7600,0,0,0,0,2,14,0,6,206,347,206,190,10575000,27703800,1988,2009,0,,,9.37,6.02,6,6.5,1,1004670001,987591,205773,12c,22v2,40.7314754,-73.9879452
MN,545,15,102,2,10003,726 BROADWAY,M1-5/R9A,O6,5,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,35140,336645,336645,0,302067,34578,0,0,0,0,1,10,0,8,120.83,275,120.83,275,4275000,36343350,1919,1982,2014,NoHo Historic District,,9.58,0,5,6.5,1,1005450015,986228,204919,12c,22v2,40.7291317,-73.9928633
MN,127,1,101,1,10007,30 WEST BROADWAY,C6-4,W5,8,C,CITY UNIVERSITY OF NEW YORK,CITY UNIVERSITY OF NEW YORK,28981,331000,331000,0,0,0,0,0,0,331000,1,15,0,1,158.75,208.75,159,175,7825050,65812950,2010,0,0,,,11.42,10,10,10,1,1001270001,981153,199325,12b,22v2,40.7137772,-74.0111715
MN,532,8,102,1,10012,246 MERCER STREET,C6-2G,H8,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,40000,307312,,,,,,,,,2,20,0,715,200,200,172,174,2326500,23673600,1981,0,0,NoHo Historic District,,7.68,6.02,6,6.5,1,1005320008,985512,204401,12c,22v2,40.7277101,-73.9954468
MN,535,1,102,1,10012,44 WEST 4 STREET,R7-2,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,51205,305900,305900,0,0,0,0,0,0,305900,2,11,0,2,245.58,209,221,209,6106050,40043250,1990,0,0,,,5.97,3.44,0,6.5,1,1005350001,985277,204864,12c,22v2,40.7289809,-73.9962946
MN,1475,5,108,5,10065,500 EAST 63 STREET,R10,D3,3,X,THE ROCKEFELLER UNIVERSITY,THE ROCKEFELLER UNIVERSITY,42035,283000,0,283000,0,0,0,0,0,0,3,26,250,250,200.83,226.25,80,136,3105000,34769250,1975,0,0,,,6.73,10,0,10,1,1014750005,995988,216412,8c,22v2,40.7606696,-73.9576289
MN,570,7501,102,2,10003,55 5 AVENUE,C6-4,RC,5,,YESHIVA UNIVERSITY,YESHIVA UNIVERSITY,18325,262814,262814,0,252111,6155,0,4548,0,0,1,19,0,20,131.5,150,0,0,5490000,36153452,1912,0,0,,,14.34,10,10,10,1,1005707501,985896,206959,12c,22v2,40.7347311,-73.9940607
