URL,Tags
https://therealdeal.com/chicago/2022/11/14/conning-buys-majority-of-pearlmark-amid-400m-distressed-property-fund-launch/,"meter,chicago,commercial real estate,distress"
https://therealdeal.com/chicago/2022/11/14/chicago-transfer-tax-hike-on-1m-plus-deals-hits-setback/,"subscriber-inline,chicago city council,homelessness,property taxes"
https://therealdeal.com/chicago/2022/11/14/baird-warner-follows-agents-clients-to-florida-with-expansion/,"meter,baird &amp; warner,florida,naples"
https://therealdeal.com/chicago/2022/11/14/after-ken-griffins-haircut-price-plummets-for-15m-waldorf-listing/,"subscriber-inline,gold coast,housing market,ken griffin,luxury real estate,residential real estate,waldorf astoria"
https://therealdeal.com/chicago/2022/11/11/preserve-or-demolish-future-of-state-street-buildings-in-question/,"meter,chicago,downtown,preservation"
https://therealdeal.com/chicago/2022/11/11/najem-nabs-fjallraven-for-fulton-market-lease/,"meter,alex najem,fulton market,fulton street cos.,retail market"
https://therealdeal.com/chicago/2022/11/11/longford-secures-demo-permits-to-make-way-for-lincoln-avenue-apartments/,"meter,development,mixed-use,uptown"
https://therealdeal.com/chicago/2022/11/11/lincoln-park-condo-closes-for-just-under-ask-in-quick-5-8m-sale/,"subscriber-inline,housing market,lincoln park,luxury real estate,residential real estate"
https://therealdeal.com/chicago/2022/11/11/level-hotels-opening-56-room-fulton-river-district-extended-stay-hotel/,"meter,fulton river district,hotel market,onni group,west loop"
https://therealdeal.com/chicago/2022/11/11/cmk-buys-another-south-loop-development-site-for-5-5m/,"subscriber-inline,cmk companies,multifamily market,south loop"
https://therealdeal.com/chicago/2022/11/10/lake-forest-home-slashes-nearly-1m-from-initial-ask/,"meter,housing market,lake forest,luxury real estate,north shore,residential real estate"
https://therealdeal.com/chicago/2022/11/10/houston-based-transwestern-acquiring-chicago-brokerage/,"meter,chicago office market,real estate mergers,transwestern"
https://therealdeal.com/chicago/2022/11/10/former-obama-boss-lists-development-site-by-incoming-presidential-center/,"meter,jackson park,obama presidential center,woodlawn"
https://therealdeal.com/chicago/2022/11/10/ballys-to-close-on-casino-site-for-200m-then-pursue-sale-leaseback/,"meter,bally’s,casinos,mayor lori lightfoot,river west"
https://therealdeal.com/chicago/2022/11/10/advertising-firm-moves-into-fulton-market-district/,"meter,feil organization,fulton market,mccaffery interests,office market,west loop"
