,URL,Tags,URL_2,HED,DEK,ADDRESS,description_link,PUB_YEAR,geo_address,loc,point,lat,lon,altitude
1164,https://therealdeal.com/chicago/2019/04/12/chicago-cheat-sheet-former-bulls-star-selling-highland-park-mansion-more/,"archive-paywall,commercial real estate,elk grove village,highland park,one bennett park,residential real estate,streeterville",https://therealdeal.com/chicago/2019/04/12/chicago-cheat-sheet-former-bulls-star-selling-highland-park-mansion-more/,Chicago Cheat Sheet: Bulls great Kukoc selling Highland Park mansion…& more,"Also, McCaffery-led venture in line for tax incentives for former Ickes site redevelopment",1830 Hybernia Drive,"<a href=""https://therealdeal.com/chicago/2019/04/12/chicago-cheat-sheet-former-bulls-star-selling-highland-park-mansion-more/"" target=""_blank"" rel=""noopener noreferrer"">Former Bull lists</a> Highland Park home",2019,"1830 Hybernia Drive Chicago, IL","1830 Hybernia Dr, Highland Park, IL 60035, USA","(42.1901428, -87.83728529999999, 0.0)",42.1901428,-87.83728529999999,0.0
1165,https://therealdeal.com/chicago/2019/04/11/mcbrearty-builders-will-bring-bronzeville-condos/,"archive-paywall,bronzeville,condominiums,residential real estate",https://therealdeal.com/chicago/2019/04/11/mcbrearty-builders-will-bring-bronzeville-condos/,McBrearty Builders will bring Bronzeville condos,The complex on a long-vacant lot joins a growing number of residential projects in the neighborhood,3914 S King Drive,"<a href=""https://therealdeal.com/chicago/2019/04/11/mcbrearty-builders-will-bring-bronzeville-condos/"" target=""_blank"" rel=""noopener noreferrer"">McBrearty Builders</a> will develop a condo complex on a long-vacant site in Bronzeville, adding to a growing number of residential projects in the South Side neighborhood.",2019,"3914 S King Drive Chicago, IL","3914 S King Dr, Chicago, IL 60653, USA","(41.8234814, -87.6176395, 0.0)",41.8234814,-87.6176395,0.0
1166,https://therealdeal.com/chicago/2019/04/11/cubs-darvish-sued-over-fence-that-blocks-lake-views/,"archive-paywall,evanston,residential real estate",https://therealdeal.com/chicago/2019/04/11/cubs-darvish-sued-over-fence-that-blocks-lake-views/,Cubs’ Darvish sued over fence that blocks lake views,The pitcher and his neighbors are in a legal spat over his 6-foot-tall wooden privacy fence in Evanston,90 Kedzie Street,"<a href=""https://therealdeal.com/chicago/2019/04/11/cubs-darvish-sued-over-fence-that-blocks-lake-views/"" target=""_blank"" rel=""noopener noreferrer"">Good fences may make</a> for good neighbors, but the people living next to Cubs pitcher Yu Darvish want to break down those barriers.",2019,"90 Kedzie Street Chicago, IL","90 N Kedzie Ave, Chicago, IL 60612, USA","(41.882692, -87.7061664, 0.0)",41.882692,-87.7061664,0.0
1167,https://therealdeal.com/chicago/2019/04/10/an-offer-they-really-couldnt-refuse-al-capones-former-house-sells-for-more-than-twice-asking/,"archive-paywall,residential real estate",https://therealdeal.com/chicago/2019/04/10/an-offer-they-really-couldnt-refuse-al-capones-former-house-sells-for-more-than-twice-asking/,An offer they really couldn’t refuse: Al Capone’s former house sells for more than twice asking,The country's most famous gangster lived in the Park Manor two-flat with his mother and sister,7244 South Prairie Avenue,"<a href=""https://therealdeal.com/chicago/2019/04/10/an-offer-they-really-couldnt-refuse-al-capones-former-house-sells-for-more-than-twice-asking/"" target=""_blank"" rel=""noopener noreferrer"">A South Side two-</a>flat where gangster Al Capone lived after moving from New York sold for more than twice its asking price.",2019,"7244 South Prairie Avenue Chicago, IL","7244 S Prairie Ave, Chicago, IL 60619, USA","(41.7625038, -87.6187729, 0.0)",41.7625038,-87.6187729,0.0
1168,https://therealdeal.com/chicago/2019/04/09/marc-realty-ddg-take-over-old-town-project-plan-254-luxury-rentals/,"archive-paywall,apartments,commercial real estate,marc realty capital,old town",https://therealdeal.com/chicago/2019/04/09/marc-realty-ddg-take-over-old-town-project-plan-254-luxury-rentals/,"Marc Realty, DDG take over Old Town project, plan 254 luxury rentals","The developers are taking over the site at 1400 North Orleans where LG Development planned rentals, then condos",1400 North Orleans Street,"<a href=""https://therealdeal.com/chicago/2019/04/09/marc-realty-ddg-take-over-old-town-project-plan-254-luxury-rentals/"" target=""_blank"" rel=""noopener noreferrer"">Marc Realty Capital,</a> Ruttenberg Gordon Investments and DDG plan 254 luxury apartments on an Old Town site once eyed for both rentals and condos that never materialized.",2019,"1400 North Orleans Street Chicago, IL","1400 N Orleans St, Chicago, IL 60610, USA","(41.9077483, -87.6376281, 0.0)",41.9077483,-87.6376281,0.0
1169,https://therealdeal.com/chicago/2019/04/08/chicago-cheat-sheet-cleaning-products-heiress-sells-gold-coast-condo-more/,"archive-paywall,alderman james cappleman,bridgeview,commercial real estate,glen ellyn,gold coast,magnificent mile,residential real estate,west loop",https://therealdeal.com/chicago/2019/04/08/chicago-cheat-sheet-cleaning-products-heiress-sells-gold-coast-condo-more/,Chicago Cheat Sheet: Cleaning products heiress sells Gold Coast condo… & more,"Also, Cappleman’s lead widens as more ballots counted from Tuesday’s election",161 East Chicago Avenue,"<a href=""https://therealdeal.com/chicago/2019/04/08/chicago-cheat-sheet-cleaning-products-heiress-sells-gold-coast-condo-more/"" target=""_blank"" rel=""noopener noreferrer"">S.C. Johnson heiress</a> sells Mag Mile condo after several price cuts",2019,"161 East Chicago Avenue Chicago, IL","Olympia Centre, 161 E Chicago Ave, Chicago, IL 60611, USA","(41.8964162, -87.6233837, 0.0)",41.8964162,-87.6233837,0.0
1170,https://therealdeal.com/chicago/2019/04/05/developer-sues-municipality-over-failed-plans-for-purple-hotel-site/,"archive-paywall,commercial real estate,hotels,tucker development",https://therealdeal.com/chicago/2019/04/05/developer-sues-municipality-over-failed-plans-for-purple-hotel-site/,Developer sues municipality over failed plans for “Purple Hotel” site,Lake Forest Real Estate Capital claims the village of Lincolnwood scuttled its project because it favored another developer,4500 West Touhy Avenue,"<a href=""https://therealdeal.com/chicago/2019/04/05/developer-sues-municipality-over-failed-plans-for-purple-hotel-site/"" target=""_blank"" rel=""noopener noreferrer"">Lake Forest Real</a> Estate Capital is suing the village of Lincolnwood, claiming it greased the skids so another firm could redevelop the site of the former “Purple Hotel.”",2019,"4500 West Touhy Avenue Chicago, IL","4500 W Touhy Ave, Lincolnwood, IL 60712, USA","(42.0120829, -87.7416934, 0.0)",42.0120829,-87.7416934,0.0
1171,https://therealdeal.com/chicago/2019/04/04/exeter-takes-out-big-loan-after-latest-chicago-area-industrial-pickup/,"archive-paywall,burr ridge,commercial real estate,industrial,warehouse",https://therealdeal.com/chicago/2019/04/04/exeter-takes-out-big-loan-after-latest-chicago-area-industrial-pickup/,Exeter takes out big loan after latest Chicago-area industrial pickup,The Pennsylvania company secured $150 million in financing after acquiring a Burr Ridge industrial property,124 Tower Drive,"<a href=""https://therealdeal.com/chicago/2019/04/04/exeter-takes-out-big-loan-after-latest-chicago-area-industrial-pickup/"" target=""_blank"" rel=""noopener noreferrer"">Three months after</a> picking up its latest Chicago-area industrial property, Exeter Property Group has taken out a $150 million loan tied to the Burr Ridge warehouse.",2019,"124 Tower Drive Chicago, IL","124 Tower Dr, Willowbrook, IL 60527, USA","(41.7611967, -87.9131318, 0.0)",41.7611967,-87.9131318,0.0
1172,https://therealdeal.com/chicago/2019/04/04/blackhawk-patrick-kane-bringing-bromance-with-jonathan-toews-to-no-9-walton-report/,"archive-paywall,9 west walton street,condominiums,gold coast,residential real estate",https://therealdeal.com/chicago/2019/04/04/blackhawk-patrick-kane-bringing-bromance-with-jonathan-toews-to-no-9-walton-report/,Blackhawk Patrick Kane bringing bromance with Jonathan Toews to No. 9 Walton: report,"Kane is latest high-profile buyer in the luxury Gold Coast condo tower, joining teammate Toews",9 West Walton Street,"<a href=""https://therealdeal.com/chicago/2019/04/04/blackhawk-patrick-kane-bringing-bromance-with-jonathan-toews-to-no-9-walton-report/"" target=""_blank"" rel=""noopener noreferrer"">By all accounts,</a> Patrick Kane and Jonathan Toews are more than just teammates on the Blackhawks. The two are inextricably linked thanks to parallel careers with the team that include bringing Chicago three Stanley Cup championships and signing identical $84 million contract extensions in 2014.",2019,"9 West Walton Street Chicago, IL","9 W Walton St, Chicago, IL 60610, USA","(41.8998155, -87.62876759999999, 0.0)",41.8998155,-87.62876759999999,0.0
1173,https://therealdeal.com/chicago/2019/04/03/property-taxes-on-west-loop-office-properties-skyrocketing-report/,"archive-paywall,commercial real estate,office,property taxes",https://therealdeal.com/chicago/2019/04/03/property-taxes-on-west-loop-office-properties-skyrocketing-report/,Property taxes on West Loop office properties skyrocketing: report,A study found the tax burden on office tenants in the area was more than 3 times as much in 2017 as it was in 2014,110 North Wacker Drive,"<a href=""https://therealdeal.com/chicago/2019/04/03/property-taxes-on-west-loop-office-properties-skyrocketing-report/"" target=""_blank"" rel=""noopener noreferrer"">The cost of renting</a> an office in the West Loop is quickly catching up to the rest of Downtown, if tax bills are any indication.",2019,"110 North Wacker Drive Chicago, IL","110 N Upper Wacker Dr, Chicago, IL 60606, USA","(41.8834084, -87.637378, 0.0)",41.8834084,-87.637378,0.0
