,MLS#,Unique,Final Agent/Team,agent_type,TRD Notes,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,SOLD DATE,PRICE,URL,full_address,geo_address,loc,point,lat,lon,altitude
2944,11348420.0,11348420/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,1900 N Albany AVE,Chicago,IL,,,"$605,000",,1900 N Albany AVE Chicago IL,1900 N Albany AVE Chicago IL,"1900 N Albany Ave, Chicago, IL 60647, USA","(41.9156949, -87.705542, 0.0)",41.9156949,-87.705542,0.0
2945,11341825.0,11341825/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,621 S Plymouth CT 504-506,Chicago,IL,,,"$535,000",,621 S Plymouth CT 504-506 Chicago IL,621 S Plymouth CT 504-506 Chicago IL,"621 S Plymouth Ct 504 506, Chicago, IL 60605, USA","(41.8737678, -87.6284325, 0.0)",41.8737678,-87.6284325,0.0
2946,11340495.0,11340495/MG Group Chicago/List,MG Group Chicago,List,Fixed,,222 E PEARSON ST 1508,Chicago,IL,,,"$370,000",,222 E PEARSON ST 1508 Chicago IL,222 E PEARSON ST 1508 Chicago IL,"222 E Pearson St APT 1508, Chicago, IL 60611, USA","(41.8979023, -87.620689, 0.0)",41.8979023,-87.620689,0.0
2947,11340493.0,11340493/MG Group Chicago/List,MG Group Chicago,List,Fixed,,1414 W Argyle ST,Chicago,IL,,,"$1,200,000",,1414 W Argyle ST Chicago IL,1414 W Argyle ST Chicago IL,"1414 W Argyle St, Chicago, IL 60640, USA","(41.9728189, -87.6652859, 0.0)",41.9728189,-87.6652859,0.0
2948,11340491.0,11340491/MG Group Chicago/List,MG Group Chicago,List,Fixed,,1113 N MOZART ST 101,Chicago,IL,,,"$499,500",,1113 N MOZART ST 101 Chicago IL,1113 N MOZART ST 101 Chicago IL,"1113 N Mozart St #101, Chicago, IL 60622, USA","(41.9015758, -87.69774009999999, 0.0)",41.9015758,-87.69774009999999,0.0
2949,11340262.0,11340262/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,6054 N Kostner AVE,Chicago,IL,,,"$875,000",,6054 N Kostner AVE Chicago IL,6054 N Kostner AVE Chicago IL,"6054 N Kostner Ave, Chicago, IL 60646, USA","(41.9917589, -87.73834889999999, 0.0)",41.9917589,-87.73834889999999,0.0
2950,11337376.0,11337376/MG Group Chicago/List,MG Group Chicago,List,Fixed,,3140 N Sheffield AVE 505,Chicago,IL,,,"$599,500",,3140 N Sheffield AVE 505 Chicago IL,3140 N Sheffield AVE 505 Chicago IL,"3140 N Sheffield Ave APT 505, Chicago, IL 60657, USA","(41.9392383, -87.65443750000001, 0.0)",41.9392383,-87.65443750000001,0.0
2951,11337269.0,11337269/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,2112 W ERIE ST,Chicago,IL,,,"$1,500,000",,2112 W ERIE ST Chicago IL,2112 W ERIE ST Chicago IL,"2112 W Erie St, Chicago, IL 60612, USA","(41.8933669, -87.6800524, 0.0)",41.8933669,-87.6800524,0.0
2952,11336058.0,11336058/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,4129 N Bell AVE,Chicago,IL,,,"$1,415,000",,4129 N Bell AVE Chicago IL,4129 N Bell AVE Chicago IL,"4129 N Bell Ave, Chicago, IL 60618, USA","(41.95676539999999, -87.68462579999999, 0.0)",41.95676539999999,-87.68462579999999,0.0
2953,11322582.0,11322582/MG Group Chicago/List,MG Group Chicago,List,Fixed,,3736 W Berteau AVE G,Chicago,IL,,,"$95,000",,3736 W Berteau AVE G Chicago IL,3736 W Berteau AVE G Chicago IL,"3736 W Berteau Ave g, Chicago, IL 60618, USA","(41.9575288, -87.72179299999999, 0.0)",41.9575288,-87.72179299999999,0.0
